Project Request,Scientific Name,Point of Contact for Submission,Email,Common Name,Survey Type
DisMap West Coast Triennial,Alosa sapidissima,Krista Nichols,krista.nichols@noaa.gov ,American shad,Encountered
DisMap West Coast Triennial,Anoplopoma fimbria,Krista Nichols,krista.nichols@noaa.gov ,Sablefish,Encountered
DisMap West Coast Triennial,Atheresthes stomias,Krista Nichols,krista.nichols@noaa.gov ,Arrowtooth flounder,Encountered
DisMap West Coast Triennial,Bathyraja spp.,Krista Nichols,krista.nichols@noaa.gov ,Skate complex,Encountered
DisMap West Coast Triennial,Beringraja binoculata,Krista Nichols,krista.nichols@noaa.gov ,Big skate,Encountered
DisMap West Coast Triennial,Beringraja rhina,Krista Nichols,krista.nichols@noaa.gov ,Longnose skate,Encountered
DisMap West Coast Triennial,Citharichthys sordidus,Krista Nichols,krista.nichols@noaa.gov ,Pacific sanddab,Encountered
DisMap West Coast Triennial,Clupea pallasii,Krista Nichols,krista.nichols@noaa.gov ,Pacific herring,Encountered
DisMap West Coast Triennial,Doryteuthis opalescens,Krista Nichols,krista.nichols@noaa.gov ,California market squid,Encountered
DisMap West Coast Triennial,Eopsetta jordani,Krista Nichols,krista.nichols@noaa.gov ,Petrale sole,Encountered
DisMap West Coast Triennial,Gadus chalcogrammus,Krista Nichols,krista.nichols@noaa.gov ,Walleye pollock,Encountered
DisMap West Coast Triennial,Gadus macrocephalus,Krista Nichols,krista.nichols@noaa.gov ,Pacific cod,Encountered
DisMap West Coast Triennial,Glyptocephalus zachirus,Krista Nichols,krista.nichols@noaa.gov ,Rex sole,Encountered
DisMap West Coast Triennial,Gorgonocephalus eucnemis,Krista Nichols,krista.nichols@noaa.gov ,Basket star,Encountered
DisMap West Coast Triennial,Hippoglossoides elassodon,Krista Nichols,krista.nichols@noaa.gov ,Flathead sole,Encountered
DisMap West Coast Triennial,Hippoglossus stenolepis,Krista Nichols,krista.nichols@noaa.gov ,Pacific halibut,Encountered
DisMap West Coast Triennial,Hydrolagus colliei,Krista Nichols,krista.nichols@noaa.gov ,Spotted ratfish,Encountered
DisMap West Coast Triennial,Icelinus filamentosus,Krista Nichols,krista.nichols@noaa.gov ,Threadfin sculpin,Encountered
DisMap West Coast Triennial,Lepidopsetta sp.,Krista Nichols,krista.nichols@noaa.gov ,Rock soles,Encountered
DisMap West Coast Triennial,Lycodes cortezianus,Krista Nichols,krista.nichols@noaa.gov ,Bigfin eelpout,Encountered
DisMap West Coast Triennial,Lyopsetta exilis,Krista Nichols,krista.nichols@noaa.gov ,Slender sole,Encountered
DisMap West Coast Triennial,Merluccius productus,Krista Nichols,krista.nichols@noaa.gov ,Pacific hake,Encountered
DisMap West Coast Triennial,Metacarcinus magister,Krista Nichols,krista.nichols@noaa.gov ,Dungeness crab,Encountered
DisMap West Coast Triennial,Microgadus proximus,Krista Nichols,krista.nichols@noaa.gov ,Pacific tomcod,Encountered
DisMap West Coast Triennial,Microstomus pacificus,Krista Nichols,krista.nichols@noaa.gov ,Dover sole,Encountered
DisMap West Coast Triennial,Oncorhynchus tshawytscha,Krista Nichols,krista.nichols@noaa.gov ,Chinook salmon,Encountered
DisMap West Coast Triennial,Ophiodon elongatus,Krista Nichols,krista.nichols@noaa.gov ,Lingcod,Encountered
DisMap West Coast Triennial,Pandalus jordani,Krista Nichols,krista.nichols@noaa.gov ,Ocean shrimp,Encountered
DisMap West Coast Triennial,Parophrys vetulus,Krista Nichols,krista.nichols@noaa.gov ,English sole,Encountered
DisMap West Coast Triennial,Porichthys notatus,Krista Nichols,krista.nichols@noaa.gov ,Plainfin midshipman,Encountered
DisMap West Coast Triennial,Sebastes alutus,Krista Nichols,krista.nichols@noaa.gov ,Pacific ocean perch,Encountered
DisMap West Coast Triennial,Sebastes babcocki,Krista Nichols,krista.nichols@noaa.gov ,Redbanded rockfish,Encountered
DisMap West Coast Triennial,Sebastes crameri,Krista Nichols,krista.nichols@noaa.gov ,Darkblotched rockfish,Encountered
DisMap West Coast Triennial,Sebastes diploproa,Krista Nichols,krista.nichols@noaa.gov ,Splitnose rockfish,Encountered
DisMap West Coast Triennial,Sebastes elongatus,Krista Nichols,krista.nichols@noaa.gov ,Greenstriped rockfish,Encountered
DisMap West Coast Triennial,Sebastes entomelas,Krista Nichols,krista.nichols@noaa.gov ,Widow rockfish,Encountered
DisMap West Coast Triennial,Sebastes flavidus,Krista Nichols,krista.nichols@noaa.gov ,Yellowtail rockfish,Encountered
DisMap West Coast Triennial,Sebastes goodei,Krista Nichols,krista.nichols@noaa.gov ,Chilipepper rockfish,Encountered
DisMap West Coast Triennial,Sebastes helvomaculatus,Krista Nichols,krista.nichols@noaa.gov ,Rosethorn rockfish,Encountered
DisMap West Coast Triennial,Sebastes jordani,Krista Nichols,krista.nichols@noaa.gov ,Shortbelly rockfish,Encountered
DisMap West Coast Triennial,Sebastes melanostictus,Krista Nichols,krista.nichols@noaa.gov ,Blackspotted and rougheye rockfish,Encountered
DisMap West Coast Triennial,Sebastes aleutianus,Krista Nichols,krista.nichols@noaa.gov ,Blackspotted and rougheye rockfish,Encountered
DisMap West Coast Triennial,Sebastes paucispinis,Krista Nichols,krista.nichols@noaa.gov ,Bocaccio,Encountered
DisMap West Coast Triennial,Sebastes pinniger,Krista Nichols,krista.nichols@noaa.gov ,Canary rockfish,Encountered
DisMap West Coast Triennial,Sebastes proriger,Krista Nichols,krista.nichols@noaa.gov ,Redstripe rockfish,Encountered
DisMap West Coast Triennial,Sebastes saxicola,Krista Nichols,krista.nichols@noaa.gov ,Stripetail rockfish,Encountered
DisMap West Coast Triennial,Sebastes zacentrus,Krista Nichols,krista.nichols@noaa.gov ,Sharpchin rockfish,Encountered
DisMap West Coast Triennial,Sebastolobus alascanus,Krista Nichols,krista.nichols@noaa.gov ,Shortspine thornyhead,Encountered
DisMap West Coast Triennial,Squalus suckleyi,Krista Nichols,krista.nichols@noaa.gov ,Pacific spiny dogfish,Encountered
DisMap West Coast Triennial,Thaleichthys pacificus,Krista Nichols,krista.nichols@noaa.gov ,Eulachon,Encountered
DisMap West Coast Triennial,Zalembius rosaceus,Krista Nichols,krista.nichols@noaa.gov ,Pink seaperch,Encountered
