Project Request,Scientific Name,Point of Contact for Submission,Email,Common Name,Survey Type
DisMap Gulf of Alaska ,Anoplopoma fimbria,Krista Nichols,krista.nichols@noaa.gov ,Sablefish,Encountered
DisMap Gulf of Alaska ,Aphrocallistes vastus,Krista Nichols,krista.nichols@noaa.gov ,Cloud sponge,Encountered
DisMap Gulf of Alaska ,Atheresthes stomias,Krista Nichols,krista.nichols@noaa.gov ,Arrowtooth flounder,Encountered
DisMap Gulf of Alaska ,Bathymaster signatus,Krista Nichols,krista.nichols@noaa.gov ,Searcher,Encountered
DisMap Gulf of Alaska ,Bathyraja spp.,Krista Nichols,krista.nichols@noaa.gov ,Skate complex,Encountered
DisMap Gulf of Alaska ,Beringraja binoculata,Krista Nichols,krista.nichols@noaa.gov ,Big skate,Encountered
DisMap Gulf of Alaska ,Beringraja rhina,Krista Nichols,krista.nichols@noaa.gov ,Longnose skate,Encountered
DisMap Gulf of Alaska ,Berryteuthis magister,Krista Nichols,krista.nichols@noaa.gov ,Magister armhook squid,Encountered
DisMap Gulf of Alaska ,Brisaster latifrons,Krista Nichols,krista.nichols@noaa.gov ,Northern heart urchin,Encountered
DisMap Gulf of Alaska ,Chionoecetes bairdi,Krista Nichols,krista.nichols@noaa.gov ,Tanner crab,Encountered
DisMap Gulf of Alaska ,Clupea pallasii,Krista Nichols,krista.nichols@noaa.gov ,Pacific herring,Encountered
DisMap Gulf of Alaska ,Crossaster papposus,Krista Nichols,krista.nichols@noaa.gov ,Common sunstar,Encountered
DisMap Gulf of Alaska ,Ctenodiscus crispatus,Krista Nichols,krista.nichols@noaa.gov ,Mud star,Encountered
DisMap Gulf of Alaska ,Cyanea capillata,Krista Nichols,krista.nichols@noaa.gov ,Lion's mane,Encountered
DisMap Gulf of Alaska ,Dasycottus setiger,Krista Nichols,krista.nichols@noaa.gov ,Spinyhead sculpin,Encountered
DisMap Gulf of Alaska ,Fusitriton oregonensis,Krista Nichols,krista.nichols@noaa.gov ,Oregon triton,Encountered
DisMap Gulf of Alaska ,Gadus chalcogrammus,Krista Nichols,krista.nichols@noaa.gov ,Walleye pollock,Encountered
DisMap Gulf of Alaska ,Gadus macrocephalus,Krista Nichols,krista.nichols@noaa.gov ,Pacific cod,Encountered
DisMap Gulf of Alaska ,Glyptocephalus zachirus,Krista Nichols,krista.nichols@noaa.gov ,Rex sole,Encountered
DisMap Gulf of Alaska ,Gorgonocephalus eucnemis,Krista Nichols,krista.nichols@noaa.gov ,Basket star,Encountered
DisMap Gulf of Alaska ,Hemilepidotus jordani,Krista Nichols,krista.nichols@noaa.gov ,Yellow irish lord,Encountered
DisMap Gulf of Alaska ,Hemitripterus bolini,Krista Nichols,krista.nichols@noaa.gov ,Bigmouth sculpin,Encountered
DisMap Gulf of Alaska ,Hippoglossoides elassodon,Krista Nichols,krista.nichols@noaa.gov ,Flathead sole,Encountered
DisMap Gulf of Alaska ,Hippoglossus stenolepis,Krista Nichols,krista.nichols@noaa.gov ,Pacific halibut,Encountered
DisMap Gulf of Alaska ,Hyas lyratus,Krista Nichols,krista.nichols@noaa.gov ,Pacific lyre crab,Encountered
DisMap Gulf of Alaska ,Hydrolagus colliei,Krista Nichols,krista.nichols@noaa.gov ,Spotted ratfish,Encountered
DisMap Gulf of Alaska ,Isopsetta isolepis,Krista Nichols,krista.nichols@noaa.gov ,Butter sole,Encountered
DisMap Gulf of Alaska ,Lepidopsetta sp.,Krista Nichols,krista.nichols@noaa.gov ,Rock soles,Encountered
DisMap Gulf of Alaska ,Lethasterias nanimensis,Krista Nichols,krista.nichols@noaa.gov ,Black spined sea star,Encountered
DisMap Gulf of Alaska ,Limanda aspera,Krista Nichols,krista.nichols@noaa.gov ,Yellowfin sole,Encountered
DisMap Gulf of Alaska ,Lycodes brevipes,Krista Nichols,krista.nichols@noaa.gov ,Shortfin eelpout,Encountered
DisMap Gulf of Alaska ,Lycodes palearis,Krista Nichols,krista.nichols@noaa.gov ,Wattled eelpout,Encountered
DisMap Gulf of Alaska ,Lyopsetta exilis,Krista Nichols,krista.nichols@noaa.gov ,Slender sole,Encountered
DisMap Gulf of Alaska ,Malacocottus zonurus,Krista Nichols,krista.nichols@noaa.gov ,Darkfin sculpin,Encountered
DisMap Gulf of Alaska ,Mallotus villosus,Krista Nichols,krista.nichols@noaa.gov ,Capelin,Encountered
DisMap Gulf of Alaska ,Microstomus pacificus,Krista Nichols,krista.nichols@noaa.gov ,Dover sole,Encountered
DisMap Gulf of Alaska ,Mycale loveni,Krista Nichols,krista.nichols@noaa.gov ,Loven's horny sponge,Encountered
DisMap Gulf of Alaska ,Myoxocephalus polyacanthocephalus,Krista Nichols,krista.nichols@noaa.gov ,Great sculpin,Encountered
DisMap Gulf of Alaska ,Ophiodon elongatus,Krista Nichols,krista.nichols@noaa.gov ,Lingcod,Encountered
DisMap Gulf of Alaska ,Ophiura sarsii,Krista Nichols,krista.nichols@noaa.gov ,Notched brittle star,Encountered
