Project Request,Scientific Name,Point of Contact for Submission,Email,Common Name,Survey Type
DisMap Northern Bering Sea,Acantholumpenus mackayi,Krista Nichols,krista.nichols@noaa.gov ,Pighead prickleback,Encountered
DisMap Northern Bering Sea,Aspidophoroides olrikii,Krista Nichols,krista.nichols@noaa.gov ,Arctic alligatorfish,Encountered
DisMap Northern Bering Sea,Asterias amurensis,Krista Nichols,krista.nichols@noaa.gov ,North pacific seastar,Encountered
DisMap Northern Bering Sea,Bathyraja spp.,Krista Nichols,krista.nichols@noaa.gov ,Skate complex,Encountered
DisMap Northern Bering Sea,Boltenia ovifera,Krista Nichols,krista.nichols@noaa.gov ,Stalked sea squirt,Encountered
DisMap Northern Bering Sea,Boreogadus saida,Krista Nichols,krista.nichols@noaa.gov ,Arctic cod,Encountered
DisMap Northern Bering Sea,Buccinum angulosum,Krista Nichols,krista.nichols@noaa.gov ,Angular whelk,Encountered
DisMap Northern Bering Sea,Buccinum polare,Krista Nichols,krista.nichols@noaa.gov ,Polar whelk,Encountered
DisMap Northern Bering Sea,Buccinum scalariforme,Krista Nichols,krista.nichols@noaa.gov ,Ladder whelk,Encountered
DisMap Northern Bering Sea,Chionoecetes opilio,Krista Nichols,krista.nichols@noaa.gov ,Snow crab,Encountered
DisMap Northern Bering Sea,Chrysaora melanaster,Krista Nichols,krista.nichols@noaa.gov ,,Encountered
DisMap Northern Bering Sea,Clupea pallasii,Krista Nichols,krista.nichols@noaa.gov ,Pacific herring,Encountered
DisMap Northern Bering Sea,Crossaster papposus,Krista Nichols,krista.nichols@noaa.gov ,Common sunstar,Encountered
DisMap Northern Bering Sea,Eleginus gracilis,Krista Nichols,krista.nichols@noaa.gov ,Saffron cod,Encountered
DisMap Northern Bering Sea,Enophrys diceraus,Krista Nichols,krista.nichols@noaa.gov ,Antlered sculpin,Encountered
DisMap Northern Bering Sea,Erimacrus isenbeckii,Krista Nichols,krista.nichols@noaa.gov ,Hair crab,Encountered
DisMap Northern Bering Sea,Eunoe depressa,Krista Nichols,krista.nichols@noaa.gov ,Depressed scale worm,Encountered
DisMap Northern Bering Sea,Eunoe nodosa,Krista Nichols,krista.nichols@noaa.gov ,Giant scale worm,Encountered
DisMap Northern Bering Sea,Evasterias echinosoma,Krista Nichols,krista.nichols@noaa.gov ,,Encountered
DisMap Northern Bering Sea,Gadus chalcogrammus,Krista Nichols,krista.nichols@noaa.gov ,Walleye pollock,Encountered
DisMap Northern Bering Sea,Gadus macrocephalus,Krista Nichols,krista.nichols@noaa.gov ,Pacific cod,Encountered
DisMap Northern Bering Sea,Gorgonocephalus eucnemis,Krista Nichols,krista.nichols@noaa.gov ,Basket star,Encountered
DisMap Northern Bering Sea,Gymnocanthus pistilliger,Krista Nichols,krista.nichols@noaa.gov ,Threaded sculpin,Encountered
DisMap Northern Bering Sea,Hexagrammos stelleri,Krista Nichols,krista.nichols@noaa.gov ,Whitespotted greenling,Encountered
DisMap Northern Bering Sea,Hippoglossoides elassodon,Krista Nichols,krista.nichols@noaa.gov ,Flathead sole-bering flounder,Encountered
DisMap Northern Bering Sea,Hippoglossoides robustus,Krista Nichols,krista.nichols@noaa.gov ,Flathead sole-bering flounder,Encountered
DisMap Northern Bering Sea,Hippoglossus stenolepis,Krista Nichols,krista.nichols@noaa.gov ,Pacific halibut,Encountered
DisMap Northern Bering Sea,Hyas coarctatus,Krista Nichols,krista.nichols@noaa.gov ,Arctic lyre crab,Encountered
DisMap Northern Bering Sea,Labidochirus splendescens,Krista Nichols,krista.nichols@noaa.gov ,Splendid hermit,Encountered
DisMap Northern Bering Sea,Lepidopsetta sp.,Krista Nichols,krista.nichols@noaa.gov ,Rock soles,Encountered
DisMap Northern Bering Sea,Leptasterias polaris,Krista Nichols,krista.nichols@noaa.gov ,Polar six-rayed star,Encountered
DisMap Northern Bering Sea,Leptasterias arctica,Krista Nichols,krista.nichols@noaa.gov ,Arctic star,Encountered
DisMap Northern Bering Sea,Leptasterias groenlandica,Krista Nichols,krista.nichols@noaa.gov ,Greenland star,Encountered
