Project Request,Scientific Name,Point of Contact for Submission,Email,Common Name,Survey Type
DisMap West Coast Annual,Actinauge verrillii,Krista Nichols,krista.nichols@noaa.gov ,Reticulate anemone,Encountered
DisMap West Coast Annual,Actinostola faeculenta,Krista Nichols,krista.nichols@noaa.gov ,Hobnail vase anemone,Encountered
DisMap West Coast Annual,Albatrossia pectoralis,Krista Nichols,krista.nichols@noaa.gov ,Giant grenadier,Encountered
DisMap West Coast Annual,Alepocephalus tenebrosus,Krista Nichols,krista.nichols@noaa.gov ,California slickhead,Encountered
DisMap West Coast Annual,Alosa sapidissima,Krista Nichols,krista.nichols@noaa.gov ,American shad,Encountered
DisMap West Coast Annual,Anoplopoma fimbria,Krista Nichols,krista.nichols@noaa.gov ,Sablefish,Encountered
DisMap West Coast Annual,Anthoptilum grandiflorum,Krista Nichols,krista.nichols@noaa.gov ,Feather boa sea pen,Encountered
DisMap West Coast Annual,Antimora microlepis,Krista Nichols,krista.nichols@noaa.gov ,Finescale mora,Encountered
DisMap West Coast Annual,Apostichopus californicus,Krista Nichols,krista.nichols@noaa.gov ,Giant california sea cucumber,Encountered
DisMap West Coast Annual,Apostichopus leukothele,Krista Nichols,krista.nichols@noaa.gov ,White-knobbed sea cucumber,Encountered
DisMap West Coast Annual,Apristurus brunneus,Krista Nichols,krista.nichols@noaa.gov ,Brown catshark,Encountered
DisMap West Coast Annual,Atheresthes stomias,Krista Nichols,krista.nichols@noaa.gov ,Arrowtooth flounder,Encountered
DisMap West Coast Annual,Bathybembix bairdii,Krista Nichols,krista.nichols@noaa.gov ,,Encountered
DisMap West Coast Annual,Bathyraja spp.,Krista Nichols,krista.nichols@noaa.gov ,Skate complex,Encountered
DisMap West Coast Annual,Beringraja binoculata,Krista Nichols,krista.nichols@noaa.gov ,Big skate,Encountered
DisMap West Coast Annual,Beringraja inornata,Krista Nichols,krista.nichols@noaa.gov ,California skate,Encountered
DisMap West Coast Annual,Beringraja rhina,Krista Nichols,krista.nichols@noaa.gov ,Longnose skate,Encountered
DisMap West Coast Annual,Bothrocara brunneum,Krista Nichols,krista.nichols@noaa.gov ,Twoline eelpout,Encountered
DisMap West Coast Annual,Brisaster latifrons,Krista Nichols,krista.nichols@noaa.gov ,Northern heart urchin,Encountered
DisMap West Coast Annual,Careproctus melanurus,Krista Nichols,krista.nichols@noaa.gov ,Blacktail snailfish,Encountered
DisMap West Coast Annual,Chauliodus macouni,Krista Nichols,krista.nichols@noaa.gov ,Pacific viperfish,Encountered
DisMap West Coast Annual,Chionoecetes tanneri,Krista Nichols,krista.nichols@noaa.gov ,Grooved tanner crab,Encountered
DisMap West Coast Annual,Chorilia longipes,Krista Nichols,krista.nichols@noaa.gov ,Longhorn decorator crab,Encountered
DisMap West Coast Annual,Citharichthys sordidus,Krista Nichols,krista.nichols@noaa.gov ,Pacific sanddab,Encountered
DisMap West Coast Annual,Clupea pallasii,Krista Nichols,krista.nichols@noaa.gov ,Pacific herring,Encountered
DisMap West Coast Annual,Coryphaenoides acrolepis,Krista Nichols,krista.nichols@noaa.gov ,Pacific grenadier,Encountered
DisMap West Coast Annual,Crossaster borealis,Krista Nichols,krista.nichols@noaa.gov ,Grooved sun star,Encountered
DisMap West Coast Annual,Doryteuthis opalescens,Krista Nichols,krista.nichols@noaa.gov ,California market squid,Encountered
DisMap West Coast Annual,Echidnocerus foraminatus,Krista Nichols,krista.nichols@noaa.gov ,Brown box crab,Encountered
DisMap West Coast Annual,Embassichthys bathybius,Krista Nichols,krista.nichols@noaa.gov ,Deep-sea sole,Encountered
DisMap West Coast Annual,Eopsetta jordani,Krista Nichols,krista.nichols@noaa.gov ,Petrale sole,Encountered
DisMap West Coast Annual,Genyonemus lineatus,Krista Nichols,krista.nichols@noaa.gov ,White croaker,Encountered
DisMap West Coast Annual,Glyptocephalus zachirus,Krista Nichols,krista.nichols@noaa.gov ,Rex sole,Encountered
DisMap West Coast Annual,Heterozonias alternatus,Krista Nichols,krista.nichols@noaa.gov ,Canonball sun star,Encountered
DisMap West Coast Annual,Hippasteria californica,Krista Nichols,krista.nichols@noaa.gov ,Californian spiny star,Encountered
DisMap West Coast Annual,Hippasteria phrygiana,Krista Nichols,krista.nichols@noaa.gov ,Arctic cushion star,Encountered
DisMap West Coast Annual,Hippoglossoides elassodon,Krista Nichols,krista.nichols@noaa.gov ,Flathead sole,Encountered
DisMap West Coast Annual,Hippoglossus stenolepis,Krista Nichols,krista.nichols@noaa.gov ,Pacific halibut,Encountered
DisMap West Coast Annual,Hydrolagus colliei,Krista Nichols,krista.nichols@noaa.gov ,Spotted ratfish,Encountered
DisMap West Coast Annual,Icelinus filamentosus,Krista Nichols,krista.nichols@noaa.gov ,Threadfin sculpin,Encountered
DisMap West Coast Annual,Liponema brevicorne,Krista Nichols,krista.nichols@noaa.gov ,Tentacle shedding anemone,Encountered
DisMap West Coast Annual,Luidia foliolata,Krista Nichols,krista.nichols@noaa.gov ,Gray sand star,Encountered
DisMap West Coast Annual,Lycenchelys crotalinus,Krista Nichols,krista.nichols@noaa.gov ,Snakehead eelpout,Encountered
DisMap West Coast Annual,Lycodes cortezianus,Krista Nichols,krista.nichols@noaa.gov ,Bigfin eelpout,Encountered
DisMap West Coast Annual,Lycodes diapterus,Krista Nichols,krista.nichols@noaa.gov ,Black eelpout,Encountered
DisMap West Coast Annual,Lycodes pacificus,Krista Nichols,krista.nichols@noaa.gov ,Blackbelly eelpout,Encountered
DisMap West Coast Annual,Lyopsetta exilis,Krista Nichols,krista.nichols@noaa.gov ,Slender sole,Encountered
DisMap West Coast Annual,Mediaster aequalis,Krista Nichols,krista.nichols@noaa.gov ,Vermillion star,Encountered
DisMap West Coast Annual,Merluccius productus,Krista Nichols,krista.nichols@noaa.gov ,Pacific hake,Encountered
DisMap West Coast Annual,Metacarcinus magister,Krista Nichols,krista.nichols@noaa.gov ,Dungeness crab,Encountered
DisMap West Coast Annual,Metridium farcimen,Krista Nichols,krista.nichols@noaa.gov ,Giant plumose anemone,Encountered
DisMap West Coast Annual,Microstomus pacificus,Krista Nichols,krista.nichols@noaa.gov ,Dover sole,Encountered
DisMap West Coast Annual,Molpadia intermedia,Krista Nichols,krista.nichols@noaa.gov ,Sweet potato sea cucumber,Encountered
DisMap West Coast Annual,Myxoderma platyacanthum,Krista Nichols,krista.nichols@noaa.gov ,,Encountered
DisMap West Coast Annual,Nearchaster aciculosus,Krista Nichols,krista.nichols@noaa.gov ,Needle spined fragile star,Encountered
DisMap West Coast Annual,Neptunea amianta,Krista Nichols,krista.nichols@noaa.gov ,,Encountered
DisMap West Coast Annual,Nezumia stelgidolepis,Krista Nichols,krista.nichols@noaa.gov ,California grenadier,Encountered
DisMap West Coast Annual,Octopoteuthis deletron,Krista Nichols,krista.nichols@noaa.gov ,Octopus squid,Encountered
DisMap West Coast Annual,Ophiodon elongatus,Krista Nichols,krista.nichols@noaa.gov ,Lingcod,Encountered
DisMap West Coast Annual,Opisthoteuthis californiana,Krista Nichols,krista.nichols@noaa.gov ,Flapjack octopus,Encountered
DisMap West Coast Annual,Pandalus jordani,Krista Nichols,krista.nichols@noaa.gov ,Ocean shrimp,Encountered
DisMap West Coast Annual,Pandalus platyceros,Krista Nichols,krista.nichols@noaa.gov ,Spot shrimp,Encountered
DisMap West Coast Annual,Parmaturus xaniurus,Krista Nichols,krista.nichols@noaa.gov ,Filetail catshark,Encountered
DisMap West Coast Annual,Parophrys vetulus,Krista Nichols,krista.nichols@noaa.gov ,English sole,Encountered
DisMap West Coast Annual,Pasiphaea pacifica,Krista Nichols,krista.nichols@noaa.gov ,Pacific glass shrimp,Encountered
DisMap West Coast Annual,Pasiphaea tarda,Krista Nichols,krista.nichols@noaa.gov ,Crimson pasiphaeid,Encountered
DisMap West Coast Annual,Platymera gaudichaudii,Krista Nichols,krista.nichols@noaa.gov ,Armed box crab,Encountered
DisMap West Coast Annual,Pleurobranchaea californica,Krista Nichols,krista.nichols@noaa.gov ,,Encountered
