"Taxonomic Group","Name"
"Algae","Agardhiella subulata*"
"Algae","Aglaothamnion tenuissimum*"
"Algae","Ascophyllum nodosum"
"Algae","Bryopsis sp. 1*"
"Algae","Campylaephora kondoi*"
"Algae","Campylaephora sungminbooi*"
"Algae","Carradoriella denudata*"
"Algae","Caulacanthus okamurae"
"Algae","Caulerpa prolifera"
"Algae","Caulerpa taxifolia (invasive genotype)"
"Algae","Codium fragile ssp. Fragile"
"Algae","Colpomenia claytoniae"
"Algae","Dasya sp. A*"
"Algae","Elachista nigra"
"Algae","Fucus spiralis"
"Algae","Gelidium vagum*"
"Algae","Gracilaria vermiculophylla"
"Algae","Gracilariopsis chorda*"
"Algae","Grateloupia asiatica*"
"Algae","Grateloupia turuturu"
"Algae","Lomentaria hakodatensis*"
"Algae","Melanothamnus japonicus*"
"Algae","Mutimo cylindricus"
"Algae","Pachymeniopsis lanceolata*"
"Algae","Padina durvillei*"
"Algae","Phycocalidia suborbiculata*"
"Algae","Polysiphonia denudata*"
"Algae","Sargassum horneri"
"Algae","Sargassum muticum"
"Algae","Schizymenia dubyi*"
"Algae","Ulva australis"
"Algae","Undaria pinnatifida"
"Amphibians-Frogs","Lithobates catesbeiana*"
"Amphibians-Frogs","Xenopus laevis*"
"Annelids-Leeches","Myzobdella lugubris"
"Annelids-Oligochaetes","Branchiura sowerbyi*"
"Annelids-Oligochaetes","Cambarincola pamelae*"
"Annelids-Oligochaetes","Chaetogaster diaphanus*"
"Annelids-Oligochaetes","Eukerria saltensis*"
"Annelids-Oligochaetes","Limnodrilus monothecus*"
"Annelids-Oligochaetes","Potamothrix bavaricus*"
"Annelids-Oligochaetes","Tubificoides apectinatus*"
"Annelids-Oligochaetes","Tubificoides brownae*"
"Annelids-Oligochaetes","Tubificoides wasselli*"
"Annelids-Oligochaetes","Varichaetadrilus angustipenis*"
"Annelids-Polychaetes","Alitta succinea"
"Annelids-Polychaetes","Amaeana sp. A"
"Annelids-Polychaetes","Amblyosyllis nigrolineata"
"Annelids-Polychaetes","Boccardiella ligerica"
"Annelids-Polychaetes","Branchiomma bairdi"
"Annelids-Polychaetes","Branchiomma SF1*"
"Annelids-Polychaetes","Diplocirrus SD1"
"Annelids-Polychaetes","Epigamia noroi"
"Annelids-Polychaetes","Ficopomatus enigmaticus"
"Annelids-Polychaetes","Haplosyllis ohma"
"Annelids-Polychaetes","Hediste diadroma"
"Annelids-Polychaetes","Heteromastus filiformis species complex"
"Annelids-Polychaetes","Hydroides elegans"
"Annelids-Polychaetes","Laonome cf. calida"
"Annelids-Polychaetes","Marenzelleria neglecta"
"Annelids-Polychaetes","Megasyllis nipponica"
"Annelids-Polychaetes","Myrianida convoluta"
"Annelids-Polychaetes","Myrianida pachycera"
"Annelids-Polychaetes","Myrianida pentadentata"
"Annelids-Polychaetes","Neoamphitrite sp. A"
"Annelids-Polychaetes","Neodexiospira brasiliensis"
"Annelids-Polychaetes","Nicolea sp. A. Harris"
"Annelids-Polychaetes","Parasabella fullo"
"Annelids-Polychaetes","Polydora cornuta"
"Annelids-Polychaetes","Polydora hoplura"
"Annelids-Polychaetes","Proceraea okadai"
"Annelids-Polychaetes","Pseudopolydora bassarginensis"
"Annelids-Polychaetes","Pseudopolydora cf. kempi"
"Annelids-Polychaetes","Pseudopolydora paucibranchiata"
"Annelids-Polychaetes","Sabaco elongatus"
"Annelids-Polychaetes","Streblospio benedicti"
"Annelids-Polychaetes","Terebrasabella heterouncinata"
"Arthropoda-Insects","Anisolabis maritima"
"Arthropoda-Insects","Megamelus scutellaris*"
"Arthropoda-Insects","Neochetina bruchi*"
"Arthropoda-Insects","Neochetina eichhorniae*"
"Arthropoda-Insects","Niphograpta albiguttalis*"
"Arthropoda-Insects","Prokelisia marginata*"
"Arthropoda-Insects","Pselactus spadix*"
"Arthropoda-Insects","Thambemyia borealis*"
"Arthropoda-Insects","Trigonotylus uhleri*"
"Bacteria","Teredinibacter turnerae*"
"Bryozoans","Aeverrillia armata"
"Bryozoans","Amathia citrina*"
"Bryozoans","Amathia dichotoma*"
"Bryozoans","Amathia verticillata"
"Bryozoans","Anguinella palmata"
"Bryozoans","Aspidelectra melolontha"
"Bryozoans","Bugula neritina"
"Bryozoans","Bugulina cf. foliolata"
"Bryozoans","Bugulina stolonifera"
"Bryozoans","Conopeum chesapeakensis"
"Bryozoans","Conopeum tenuissimum"
"Bryozoans","Cryptosula pallasiana"
"Bryozoans","Fredericella indica"
"Bryozoans","Hippopodina iririkiensis*"
"Bryozoans","Nolella sawayai*"
"Bryozoans","Pectinatella magnifica"
"Bryozoans","Schizoporella japonica"
"Bryozoans","Schizoporella variabilis"
"Bryozoans","Victorella pavida"
"Bryozoans","Watersipora arcuata"
"Bryozoans","Watersipora n. sp."
"Bryozoans","Watersipora subatra*"
"Bryozoans","Watersipora subtorquata"
"Cnidarians-Anthozoans","Anthopleura hermaphroditica*"
"Cnidarians-Anthozoans","Bunodeopsis sp. A"
"Cnidarians-Anthozoans","Diadumene franciscana"
"Cnidarians-Anthozoans","Diadumene leucolena"
"Cnidarians-Anthozoans","Diadumene lineata"
"Cnidarians-Anthozoans","Diadumene paranaensis"
"Cnidarians-Anthozoans","Exaiptasia pallida"
"Cnidarians-Anthozoans","Nematostella vectensis"
"Cnidarians-Hydrozoans","Amphinema cf. rugosum"
"Cnidarians-Hydrozoans","Bimeria vestita"
"Cnidarians-Hydrozoans","Blackfordia virginica"
"Cnidarians-Hydrozoans","Calyptospadix cerulea"
"Cnidarians-Hydrozoans","Cladonema pacificum"
"Cnidarians-Hydrozoans","Clava multicornis"
"Cnidarians-Hydrozoans","Climacocodon ikarii"
"Cnidarians-Hydrozoans","Cordylophora caspia"
"Cnidarians-Hydrozoans","Corymorpha sp. A"
"Cnidarians-Hydrozoans","Craspedacusta sowerbii"
"Cnidarians-Hydrozoans","Ectopleura crocea"
"Cnidarians-Hydrozoans","Gonionemus vertens"
"Cnidarians-Hydrozoans","Laomedea calceolifera"
"Cnidarians-Hydrozoans","Maeotias marginata"
"Cnidarians-Hydrozoans","Moerisia lyonsi"
"Cnidarians-Hydrozoans","Turritopsis dohrnii"
"Cnidarians-Myxozoans","Myxobolus koi*"
"Cnidarians-Scyphozoans","Aurelia coerulea"
"Cnidarians-Scyphozoans","Phyllorhiza punctata"
"Crustaceans-Amphipods","Ampelisca abdita"
"Crustaceans-Amphipods","Ampithoe longimana"
"Crustaceans-Amphipods","Ampithoe valida"
"Crustaceans-Amphipods","Aoroides secunda"
"Crustaceans-Amphipods","Caprella drepanochir"
"Crustaceans-Amphipods","Caprella mutica"
"Crustaceans-Amphipods","Caprella scaura"
"Crustaceans-Amphipods","Caprella simia"
"Crustaceans-Amphipods","Chelura terebrans"
"Crustaceans-Amphipods","Corophium alienense"
"Crustaceans-Amphipods","Corophium heteroceratum"
"Crustaceans-Amphipods","Crangonyx floridanus"
"Crustaceans-Amphipods","Eochelidium sp. A"
"Crustaceans-Amphipods","Gammarus daiberi"
"Crustaceans-Amphipods","Grandidierella japonica"
"Crustaceans-Amphipods","Incisocalliope derzhavini"
"Crustaceans-Amphipods","Jassa marmorata"
"Crustaceans-Amphipods","Leucothoe nagatai"
"Crustaceans-Amphipods","Melita nitida"
"Crustaceans-Amphipods","Melita rylovae"
"Crustaceans-Amphipods","Microdeutopus gryllotalpa"
"Crustaceans-Amphipods","Monocorophium acherusicum"
"Crustaceans-Amphipods","Monocorophium insidiosum"
"Crustaceans-Amphipods","Monocorophium uenoi"
"Crustaceans-Amphipods","Paracorophium sp."
"Crustaceans-Amphipods","Paradexamine sp. SD1"
"Crustaceans-Amphipods","Stenothoe valida"
"Crustaceans-Amphipods","Transorchestia enigmatica"
"Crustaceans-Barnacles","Amphibalanus amphitrite"
"Crustaceans-Barnacles","Amphibalanus eburneus"
"Crustaceans-Barnacles","Amphibalanus improvisus"
"Crustaceans-Barnacles","Fistulobalanus albicostatus"
"Crustaceans-Cladocerans","Daphnia lumholtzi"
"Crustaceans-Copepods","Acartiella sinensis"
"Crustaceans-Copepods","Eurytemora carolleeae"
"Crustaceans-Copepods","Harpacticella paradoxa"
"Crustaceans-Copepods","Lernaea cyprinacea"
"Crustaceans-Copepods","Limnoithona sinensis"
"Crustaceans-Copepods","Limnoithona tetraspina"
"Crustaceans-Copepods","Mytilicola orientalis"
"Crustaceans-Copepods","Oithona davisae"
"Crustaceans-Copepods","Pseudodiaptomus forbesi"
"Crustaceans-Copepods","Pseudodiaptomus marinus"
"Crustaceans-Copepods","Sinocalanus doerrii"
"Crustaceans-Copepods","Stephos robustus*"
"Crustaceans-Copepods","Tortanus dextrilobatus"
"Crustaceans-Crabs","Callinectes sapidus"
"Crustaceans-Crabs","Carcinus maenas"
"Crustaceans-Crabs","Eriocheir sinensis"
