phylum	count_non_na_circular_complete_verified_directHits	count_non_na_circular_complete_unverified_directHits	count_non_na_linear_complete_verified_directHits	count_non_na_linear_complete_unverified_directHits	count_non_na_circular_claimComplete_verified_directHits	count_non_na_circular_noClaim_verified_directHits	count_non_na_circular_noClaim_unverified_directHits	count_non_na_linear_claimComplete_verified_directHits	count_non_na_linear_noClaim_verified_directHits	count_non_na_linear_noClaim_unverified_directHits
Acanthocephala	0	0	0	0	0	0	0	0	0	0
Annelida	74	0	0	0	0	1	1	0	26	43
Arthropoda	97	0	0	0	2	0	0	1	30	21
Ascomycota	0	0	0	0	0	0	0	0	0	0
Bigyra	0	0	0	0	0	0	0	0	0	0
Brachiopoda	4	0	0	0	0	1	0	0	1	0
Bryozoa	5	0	0	0	0	0	0	0	8	46
Cercozoa	0	0	0	0	0	0	0	0	0	0
Chaetognatha	3	0	0	0	1	0	0	0	3	2
Chlorophyta	5	0	0	0	0	1	0	0	0	1
Chordata	456	5	8	0	51	26	1	21	169	35
Cnidaria	29	0	22	0	0	2	0	0	27	1
Ctenophora	3	0	0	0	0	0	0	0	0	0
Dicyemida	0	0	0	0	0	0	0	0	0	0
Echinodermata	39	0	0	0	2	8	0	0	8	3
Entoprocta	0	0	0	0	0	0	0	0	0	0
Foraminifera	0	0	0	0	0	0	0	0	0	0
Gastrotricha	0	0	0	0	0	0	0	0	0	0
Hemichordata	1	0	0	0	0	0	0	0	1	0
Heterokontophyta	0	0	0	0	0	0	0	0	0	0
Loricifera	0	0	0	0	0	0	0	0	0	0
Mollusca	152	3	0	0	6	0	0	3	83	38
Myzozoa	0	0	0	0	0	0	0	0	0	0
Nematoda	0	0	0	0	0	0	0	0	0	0
Nemertea	11	0	0	0	0	0	0	0	1	0
Ochrophyta	36	0	0	0	0	2	0	0	2	0
Orthonectida	0	0	0	0	0	0	0	0	0	1
Phoronida	1	0	0	0	0	0	0	0	1	0
Platyhelminthes	0	0	0	0	0	0	0	0	0	0
Pogonophora	0	0	0	0	0	0	0	0	0	0
Porifera	5	0	0	0	0	0	0	0	5	4
Priapulida	1	0	1	0	0	0	0	0	1	0
Radiozoa	0	0	0	0	0	0	0	0	0	0
Rhodophyta	21	0	1	0	0	0	0	1	0	0
Sarcomastigophora	0	0	0	0	0	0	0	0	0	0
Tardigrada	0	0	0	0	0	0	0	0	0	0
Tracheophyta	1	0	0	0	0	0	0	0	1	0
Xenacoelomorpha	1	0	0	0	0	0	0	0	1	0
NA	4	0	0	0	0	0	0	0	3	1
