AphiaID	url	scientificname	authority	status	unacceptreason	taxonRankID	rank	valid_AphiaID	valid_name	valid_authority	parentNameUsageID	kingdom	phylum	class	order	family	genus	citation	lsid	isMarine	isBrackish	isFreshwater	isTerrestrial	isExtinct	match_type	modified
987209	https://www.marinespecies.org/aphia.php?p=taxdetails&id=987209	Ablabesmyia	Johannsen, 1905	accepted	NA	180	Genus	987209	Ablabesmyia	Johannsen, 1905	712122	Animalia	Arthropoda	Hexapoda	Diptera	Chironomidae	Ablabesmyia	WoRMS (2024). Ablabesmyia Johannsen, 1905. Accessed at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=987209 on 2024-11-05	urn:lsid:marinespecies.org:taxname:987209	0	0	0	1	NA	exact	2017-03-24T07:07:23.210Z
144407	https://www.marinespecies.org/aphia.php?p=taxdetails&id=144407	Acrosiphonia arcta	(Dillwyn) Gain, 1912	accepted	NA	220	Species	144407	Acrosiphonia arcta	(Dillwyn) Gain, 1912	143803	Plantae	Chlorophyta	Chlorophyceae	Acrosiphoniales	Acrosiphoniaceae	Acrosiphonia	Guiry, M.D. & Guiry, G.M. (2024). AlgaeBase. World-wide electronic publication, National University of Ireland, Galway (taxonomic information republished from AlgaeBase with permission of M.D. Guiry). Acrosiphonia arcta (Dillwyn) Gain, 1912. Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=144407 on 2024-11-05	urn:lsid:marinespecies.org:taxname:144407	1	NA	NA	NA	NA	exact	2015-06-26T12:00:51.270Z
366445	https://www.marinespecies.org/aphia.php?p=taxdetails&id=366445	Acrosiphonia coalita	(Ruprecht) Scagel, Garbary, Golden & M.W.Hawkes, 1986	accepted	NA	220	Species	366445	Acrosiphonia coalita	(Ruprecht) Scagel, Garbary, Golden & M.W.Hawkes, 1986	143803	Plantae	Chlorophyta	Chlorophyceae	Acrosiphoniales	Acrosiphoniaceae	Acrosiphonia	Guiry, M.D. & Guiry, G.M. (2024). AlgaeBase. World-wide electronic publication, National University of Ireland, Galway (taxonomic information republished from AlgaeBase with permission of M.D. Guiry). Acrosiphonia coalita (Ruprecht) Scagel, Garbary, Golden & M.W.Hawkes, 1986. Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=366445 on 2024-11-05	urn:lsid:marinespecies.org:taxname:366445	1	NA	NA	NA	NA	exact	2015-06-26T12:00:51.270Z
608214	https://www.marinespecies.org/aphia.php?p=taxdetails&id=608214	Acrosiphonia duriuscula	(Ruprecht) Yendo, 1916	accepted	NA	220	Species	608214	Acrosiphonia duriuscula	(Ruprecht) Yendo, 1916	143803	Plantae	Chlorophyta	Chlorophyceae	Acrosiphoniales	Acrosiphoniaceae	Acrosiphonia	Guiry, M.D. & Guiry, G.M. (2024). AlgaeBase. World-wide electronic publication, National University of Ireland, Galway (taxonomic information republished from AlgaeBase with permission of M.D. Guiry). Acrosiphonia duriuscula (Ruprecht) Yendo, 1916. Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=608214 on 2024-11-05	urn:lsid:marinespecies.org:taxname:608214	1	NA	NA	NA	NA	exact	2015-06-26T12:00:51.270Z
295874	https://www.marinespecies.org/aphia.php?p=taxdetails&id=295874	Acrosorium ciliolatum	(Harvey) Kylin, 1924	accepted	NA	220	Species	295874	Acrosorium ciliolatum	(Harvey) Kylin, 1924	143875	Plantae	Rhodophyta	Florideophyceae	Ceramiales	Delesseriaceae	Acrosorium	Guiry, M.D. & Guiry, G.M. (2024). AlgaeBase. World-wide electronic publication, National University of Ireland, Galway (taxonomic information republished from AlgaeBase with permission of M.D. Guiry). Acrosorium ciliolatum (Harvey) Kylin, 1924. Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=295874 on 2024-11-05	urn:lsid:marinespecies.org:taxname:295874	1	NA	NA	NA	NA	exact	2015-06-26T12:00:51.270Z
157207	https://www.marinespecies.org/aphia.php?p=taxdetails&id=157207	Agarum clathratum	Dumortier, 1822	accepted	NA	220	Species	157207	Agarum clathratum	Dumortier, 1822	157205	Chromista	Ochrophyta	Phaeophyceae	Laminariales	Agaraceae	Agarum	Guiry, M.D. & Guiry, G.M. (2024). AlgaeBase. World-wide electronic publication, National University of Ireland, Galway (taxonomic information republished from AlgaeBase with permission of M.D. Guiry). Agarum clathratum Dumortier, 1822. Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=157207 on 2024-11-05	urn:lsid:marinespecies.org:taxname:157207	1	NA	NA	NA	NA	exact	2015-06-26T12:00:51.270Z
372699	https://www.marinespecies.org/aphia.php?p=taxdetails&id=372699	Agarum fimbriatum	Harvey, 1862	unaccepted	NA	220	Species	1313053	Neoagarum fimbriatum	(Harvey) H.Kawai & T.Hanyuda, 2017	157205	Chromista	Ochrophyta	Phaeophyceae	Laminariales	Agaraceae	Agarum	Guiry, M.D. & Guiry, G.M. (2024). AlgaeBase. World-wide electronic publication, National University of Ireland, Galway (taxonomic information republished from AlgaeBase with permission of M.D. Guiry). Agarum fimbriatum Harvey, 1862. Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=372699 on 2024-11-05	urn:lsid:marinespecies.org:taxname:372699	1	NA	NA	NA	NA	exact	2018-12-04T08:23:54.740Z
372235	https://www.marinespecies.org/aphia.php?p=taxdetails&id=372235	Ahnfeltia fastigiata	(Endlicher) Makienko, 1970	accepted	NA	220	Species	372235	Ahnfeltia fastigiata	(Endlicher) Makienko, 1970	143806	Plantae	Rhodophyta	Florideophyceae	Ahnfeltiales	Ahnfeltiaceae	Ahnfeltia	Guiry, M.D. & Guiry, G.M. (2024). AlgaeBase. World-wide electronic publication, National University of Ireland, Galway (taxonomic information republished from AlgaeBase with permission of M.D. Guiry). Ahnfeltia fastigiata (Endlicher) Makienko, 1970. Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=372235 on 2024-11-05	urn:lsid:marinespecies.org:taxname:372235	1	NA	NA	NA	NA	exact	2015-06-26T12:00:51.270Z
144422	https://www.marinespecies.org/aphia.php?p=taxdetails&id=144422	Ahnfeltia plicata	(Hudson) E.M.Fries, 1836	accepted	NA	220	Species	144422	Ahnfeltia plicata	(Hudson) E.M.Fries, 1836	143806	Plantae	Rhodophyta	Florideophyceae	Ahnfeltiales	Ahnfeltiaceae	Ahnfeltia	Guiry, M.D. & Guiry, G.M. (2024). AlgaeBase. World-wide electronic publication, National University of Ireland, Galway (taxonomic information republished from AlgaeBase with permission of M.D. Guiry). Ahnfeltia plicata (Hudson) E.M.Fries, 1836. Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=144422 on 2024-11-05	urn:lsid:marinespecies.org:taxname:144422	1	NA	NA	NA	NA	exact	2023-02-09T06:32:11.300Z
372232	https://www.marinespecies.org/aphia.php?p=taxdetails&id=372232	Ahnfeltiopsis gigartinoides	(J.Agardh) P.C.Silva & DeCew, 1992	accepted	NA	220	Species	372232	Ahnfeltiopsis gigartinoides	(J.Agardh) P.C.Silva & DeCew, 1992	144164	Plantae	Rhodophyta	Florideophyceae	Gigartinales	Phyllophoraceae	Ahnfeltiopsis	Guiry, M.D. & Guiry, G.M. (2024). AlgaeBase. World-wide electronic publication, National University of Ireland, Galway (taxonomic information republished from AlgaeBase with permission of M.D. Guiry). Ahnfeltiopsis gigartinoides (J.Agardh) P.C.Silva & DeCew, 1992. Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=372232 on 2024-11-05	urn:lsid:marinespecies.org:taxname:372232	1	NA	NA	NA	NA	exact	2015-06-26T12:00:51.270Z
