"qseqid.x","gi","accession","mismatch_forward","forward_start","forward_stop","staxids","distinct_entries.x","qseqid.y","mismatch_reverse","reverse_start","reverse_stop","distinct_entries.y","product_length","taxid","species","superkingdom","kingdom","phylum","subphylum","superclass","class","subclass","order","family","subfamily","genus","infraorder","subcohort","superorder","superfamily","tribe","subspecies","subgenus","species.group","parvorder","varietas"
"forward_row_1",2997427,"AF004957.1",0,160,177,"42330",2,"reverse_row_1",0,433,416,2,273,42330,"Acipenser naccarii",NA,"Metazoa","Chordata","Craniata","Actinopterygii","Actinopteri","Chondrostei","Acipenseriformes","Acipenseridae","Acipenserinae","Acipenser",NA,NA,NA,NA,"Acipenserini",NA,NA,NA,NA,NA
"forward_row_1",17221799,"AF206471.1",0,1054,1067,"128784",2,"reverse_row_1",0,1302,1285,2,248,128784,"Ptychadena sp. JPB-6253",NA,"Metazoa","Chordata","Craniata","Sarcopterygii","Amphibia",NA,"Anura","Ptychadenidae",NA,"Ptychadena",NA,NA,"Batrachia","Ranoidea",NA,NA,NA,NA,NA,NA
"forward_row_2",6970149,"AF230142.1",0,70,87,"90755",2,"reverse_row_1",0,316,300,2,246,90755,"Dendragapus obscurus",NA,"Metazoa","Chordata","Craniata","Sarcopterygii","Aves",NA,"Galliformes","Phasianidae","Tetraoninae","Dendragapus",NA,NA,"Galloanserae",NA,NA,NA,NA,NA,NA,NA
"forward_row_2",6970152,"AF230145.1",0,70,87,"83287",2,"reverse_row_1",1,311,295,2,241,83287,"Tympanuchus phasianellus",NA,"Metazoa","Chordata","Craniata","Sarcopterygii","Aves",NA,"Galliformes","Phasianidae","Tetraoninae","Tympanuchus",NA,NA,"Galloanserae",NA,NA,NA,NA,NA,NA,NA
"forward_row_1",37787266,"AY216545.1",1,2161,2178,"111846",2,"reverse_row_1",0,2420,2403,2,259,111846,"Notropis blennius",NA,"Metazoa","Chordata","Craniata","Actinopterygii","Actinopteri","Neopterygii","Cypriniformes","Leuciscidae","Pogonichthyinae","Notropis",NA,"Ostariophysi","Cypriniphysae",NA,NA,NA,NA,NA,NA,NA
"forward_row_1",49090172,"AY622431.1",1,190,206,"110848",2,"reverse_row_1",2,386,370,2,196,110848,"Pseudamnicola emilianus",NA,"Metazoa","Mollusca",NA,NA,"Gastropoda","Caenogastropoda","Littorinimorpha","Hydrobiidae","Hydrobiinae","Pseudamnicola",NA,NA,NA,"Truncatelloidea",NA,NA,NA,NA,NA,NA
"forward_row_1",49090174,"AY622433.1",1,191,207,"199865",2,"reverse_row_1",2,387,371,2,196,199865,"Floridobia winkleyi",NA,"Metazoa","Mollusca",NA,NA,"Gastropoda","Caenogastropoda","Littorinimorpha","Hydrobiidae",NA,"Floridobia",NA,NA,NA,"Truncatelloidea",NA,NA,NA,NA,NA,NA
"forward_row_1",49090176,"AY622435.1",1,194,210,"176869",2,"reverse_row_1",2,392,376,2,198,328241,"Fluminicola dalli",NA,"Metazoa","Mollusca",NA,NA,"Gastropoda","Caenogastropoda","Littorinimorpha","Lithoglyphidae",NA,"Fluminicola",NA,NA,NA,"Truncatelloidea",NA,NA,NA,NA,NA,NA
"forward_row_1",55831651,"AY649149.1",0,179,192,"293406",2,"reverse_row_1",1,390,374,2,211,293406,"Dibamus sp. MCB-2004",NA,"Metazoa","Chordata","Craniata","Sarcopterygii","Lepidosauria",NA,"Squamata","Dibamidae",NA,"Dibamus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"forward_row_2",55831679,"AY649177.1",0,178,195,"293415",2,"reverse_row_1",1,395,378,2,217,293415,"Takydromus sp. MCB 205",NA,"Metazoa","Chordata","Craniata","Sarcopterygii","Lepidosauria",NA,"Squamata","Lacertidae","Lacertinae","Takydromus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"forward_row_1",156121982,"EU068630.1",0,216,232,"462023",2,"reverse_row_1",1,417,402,2,201,462023,"Phalacrotophora sp. PTS-2007",NA,"Metazoa","Arthropoda","Hexapoda",NA,"Insecta","Pterygota","Diptera","Phoridae","Metopininae","Phalacrotophora","Muscomorpha",NA,NA,"Platypezoidea","Metopinini",NA,NA,NA,NA,NA
"forward_row_1",156121983,"EU068631.1",0,216,232,"461988",2,"reverse_row_1",1,414,399,2,198,461988,"Dohrniphora gigantea",NA,"Metazoa","Arthropoda","Hexapoda",NA,"Insecta","Pterygota","Diptera","Phoridae","Aenigmatiinae","Dohrniphora","Muscomorpha",NA,NA,"Platypezoidea",NA,NA,NA,NA,NA,NA
"forward_row_1",156121984,"EU068632.1",0,173,189,"461987",2,"reverse_row_1",1,373,358,2,200,461987,"Beckerina luteola",NA,"Metazoa","Arthropoda","Hexapoda",NA,"Insecta","Pterygota","Diptera","Phoridae","Metopininae","Beckerina","Muscomorpha",NA,NA,"Platypezoidea","Beckerinini",NA,NA,NA,NA,NA
"forward_row_1",157986582,"EU162564.1",0,180,196,"476083",2,"reverse_row_1",1,387,372,2,207,476083,"Onthophagus sharpi",NA,"Metazoa","Arthropoda","Hexapoda",NA,"Insecta","Pterygota","Coleoptera","Scarabaeidae","Scarabaeinae","Onthophagus","Scarabaeiformia",NA,NA,"Scarabaeoidea","Onthophagini",NA,NA,NA,NA,NA
"forward_row_1",193082188,"EU683108.1",0,197,213,"237362",2,"reverse_row_1",1,401,386,2,204,237362,"Thaumastocoris petilis",NA,"Metazoa","Arthropoda","Hexapoda",NA,"Insecta","Pterygota","Hemiptera","Thaumastocoridae",NA,"Thaumastocoris","Cimicomorpha",NA,NA,"Cimicoidea",NA,NA,NA,NA,NA,NA
