phylum	count_non_na_high_potential_sra_directHits	count_non_na_other_potential_sra_directHits
Acanthocephala	0	0
Annelida	72	25
Arthropoda	77	25
Ascomycota	0	0
Bigyra	0	0
Brachiopoda	1	1
Bryozoa	11	7
Cercozoa	0	0
Chaetognatha	0	0
Chlorophyta	3	0
Chordata	509	165
Cnidaria	75	15
Ctenophora	2	2
Dicyemida	0	0
Echinodermata	50	25
Entoprocta	0	0
Foraminifera	0	0
Gastrotricha	0	0
Hemichordata	0	1
Heterokontophyta	0	0
Loricifera	0	0
Mollusca	156	76
Myzozoa	1	0
Nematoda	0	0
Nemertea	6	2
Ochrophyta	32	15
Orthonectida	0	0
Phoronida	1	0
Platyhelminthes	2	0
Pogonophora	0	0
Porifera	6	7
Priapulida	1	1
Radiozoa	0	0
Rhodophyta	16	0
Sarcomastigophora	0	0
Tardigrada	0	0
Tracheophyta	2	2
Xenacoelomorpha	1	0
NA	6	4
