Scientific.Name	row_ids	AphiaID	taxonID	scientificNameID	acceptedNameUsageID	parentNameUsageID	namePublishedInID	scientificName	acceptedNameUsage	parentNameUsage	namePublishedIn	namePublishedInYear	kingdom	phylum	class	order	family	genus	subgenus	specificEpithet	infraspecificEpithet	taxonRank	scientificNameAuthorship	nomenclaturalCode	taxonomicStatus	nomenclaturalStatus	modified	bibliographicCitation	references	license	rightsHolder	datasetName	institutionCode	datasetID.x	identifier	title	format	datasetID.y	subject	Accepted_AphiaID	parent_AphiaID	speciesNOsubgenus	parent_NCBI	accepted_NCBI
Ablennes hians	R000001	159246	urn:lsid:marinespecies.org:taxname:159246	urn:lsid:marinespecies.org:taxname:159246	urn:lsid:marinespecies.org:taxname:159246	urn:lsid:marinespecies.org:taxname:159244	NA	Ablennes hians	Ablennes hians	Ablennes	NA	NA	Animalia	Chordata	Teleostei	Beloniformes	Belonidae	Ablennes	NA	hians	NA	Species	(Valenciennes, 1846)	ICZN	accepted	NA	2008-01-15	Froese, R. and D. Pauly. Editors. (2024). FishBase. Ablennes hians (Valenciennes, 1846). Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=159246	https://www.marinespecies.org/aphia.php?p=taxdetails&id=159246	NA	NA	NA	NA	NA	NCBI:txid129035	To GenBank (72 nucleotides; 110 proteins)	NA	ncbi	NA	159246	159244	Ablennes hians	NCBI:txid129034	NCBI:txid129035
Abudefduf troschelii	R000002	273702	urn:lsid:marinespecies.org:taxname:273702	urn:lsid:marinespecies.org:taxname:273702	urn:lsid:marinespecies.org:taxname:273702	urn:lsid:marinespecies.org:taxname:126044	NA	Abudefduf troschelii	Abudefduf troschelii	Abudefduf	NA	NA	Animalia	Chordata	Teleostei	Ovalentaria incertae sedis	Pomacentridae	Abudefduf	NA	troschelii	NA	Species	(Gill, 1862)	ICZN	accepted	NA	2008-01-15	Froese, R. and D. Pauly. Editors. (2024). FishBase. Abudefduf troschelii (Gill, 1862). Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=273702	https://www.marinespecies.org/aphia.php?p=taxdetails&id=273702	NA	NA	NA	NA	NA	NCBI:txid36217	To GenBank (93 nucleotides; 19 proteins)	NA	ncbi	NA	273702	126044	Abudefduf troschelii	NCBI:txid36213	NCBI:txid36217
Acanthocybium solandri	R000003	127014	urn:lsid:marinespecies.org:taxname:127014	urn:lsid:marinespecies.org:taxname:127014	urn:lsid:marinespecies.org:taxname:127014	urn:lsid:marinespecies.org:taxname:126056	NA	Acanthocybium solandri	Acanthocybium solandri	Acanthocybium	NA	NA	Animalia	Chordata	Teleostei	Scombriformes	Scombridae	Acanthocybium	NA	solandri	NA	Species	(Cuvier, 1832)	ICZN	accepted	NA	2008-01-15	Froese, R. and D. Pauly. Editors. (2024). FishBase. Acanthocybium solandri (Cuvier, 1832). Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=127014	https://www.marinespecies.org/aphia.php?p=taxdetails&id=127014	NA	NA	NA	NA	NA	NCBI:txid13323	To GenBank (493 nucleotides; 260 proteins)	NA	ncbi	NA	127014	126056	Acanthocybium solandri	NCBI:txid13322	NCBI:txid13323
Acanthogobius flavimanus	R000004	279475	urn:lsid:marinespecies.org:taxname:279475	urn:lsid:marinespecies.org:taxname:279475	urn:lsid:marinespecies.org:taxname:279475	urn:lsid:marinespecies.org:taxname:268191	NA	Acanthogobius flavimanus	Acanthogobius flavimanus	Acanthogobius	NA	NA	Animalia	Chordata	Teleostei	Gobiiformes	Gobiidae	Acanthogobius	NA	flavimanus	NA	Species	(Temminck & Schlegel, 1845)	ICZN	accepted	NA	2008-01-15	Froese, R. and D. Pauly. Editors. (2024). FishBase. Acanthogobius flavimanus (Temminck & Schlegel, 1845). Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=279475	https://www.marinespecies.org/aphia.php?p=taxdetails&id=279475	NA	NA	NA	NA	NA	NCBI:txid86203	To GenBank (359 nucleotides; 139 proteins)	NA	ncbi	NA	279475	268191	Acanthogobius flavimanus	NCBI:txid86196	NCBI:txid86203
Acantholiparis caecus	R000005	279479	urn:lsid:marinespecies.org:taxname:279479	urn:lsid:marinespecies.org:taxname:279479	urn:lsid:marinespecies.org:taxname:279479	urn:lsid:marinespecies.org:taxname:268193	NA	Acantholiparis caecus	Acantholiparis caecus	Acantholiparis	Grinols, R. B. (1969). A new species of Acantholiparis (Pisces: Liparidae) from the eastern subarctic Pacific region, with distribution notes for the genus. <em>Journal of the Fisheries Research Board of Canada.</em> 26 (5): 1237-1242.	1969	Animalia	Chordata	Teleostei	Perciformes	Liparidae	Acantholiparis	NA	caecus	NA	Species	Grinols, 1969	ICZN	accepted	NA	2008-01-15	Froese, R. and D. Pauly. Editors. (2024). FishBase. Acantholiparis caecus Grinols, 1969. Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=279479	https://www.marinespecies.org/aphia.php?p=taxdetails&id=279479	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	279479	268193	Acantholiparis caecus	NCBI:txid557402	NA
Acantholiparis opercularis	R000006	279480	urn:lsid:marinespecies.org:taxname:279480	urn:lsid:marinespecies.org:taxname:279480	urn:lsid:marinespecies.org:taxname:279480	urn:lsid:marinespecies.org:taxname:268193	NA	Acantholiparis opercularis	Acantholiparis opercularis	Acantholiparis	Gilbert, C. H.; Burke, C. V. (1912). Fishes from Bering Sea and Kamchatka. <em>Bulletin of the Bureau of Fisheries.</em> v. 30 (Doc. 754) (for 1910): 31-96.	1912	Animalia	Chordata	Teleostei	Perciformes	Liparidae	Acantholiparis	NA	opercularis	NA	Species	Gilbert & Burke, 1912	ICZN	accepted	NA	2008-01-15	Froese, R. and D. Pauly. Editors. (2024). FishBase. Acantholiparis opercularis Gilbert & Burke, 1912. Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=279480	https://www.marinespecies.org/aphia.php?p=taxdetails&id=279480	NA	NA	NA	NA	NA	NCBI:txid557403	To GenBank (2 nucleotides; 2 proteins)	NA	ncbi	NA	279480	268193	Acantholiparis opercularis	NCBI:txid557402	NCBI:txid557403
Acanthomus armatus	R000007	158998	urn:lsid:marinespecies.org:taxname:158998	urn:lsid:marinespecies.org:taxname:158998	urn:lsid:marinespecies.org:taxname:158998	urn:lsid:marinespecies.org:taxname:158997	NA	Acanthonus armatus	Acanthonus armatus	Acanthonus	Günther, A. (1878). Preliminary notices of deep-sea fishes collected during the voyage of H. M. S. `Challenger. <em>Annals and Magazine of Natural History (Series 5).</em> 2 (nos 7/8/9)(art. 2/22/28): 17-28, 179-187, 248-251. [Also a partial separate, pp. 1-24.	1878	Animalia	Chordata	Teleostei	Ophidiiformes	Ophidiidae	Acanthonus	NA	armatus	NA	Species	Günther, 1878	ICZN	accepted	NA	2008-01-15	Froese, R. and D. Pauly. Editors. (2024). FishBase. Acanthonus armatus Günther, 1878. Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=158998	https://www.marinespecies.org/aphia.php?p=taxdetails&id=158998	NA	NA	NA	NA	NA	NCBI:txid1843782	To GenBank (5 nucleotides; 3 proteins)	NA	ncbi	NA	158998	158997	Acanthonus armatus	NCBI:txid1843781	NCBI:txid1843782
Acanthurus xanthopterus	R000008	219634	urn:lsid:marinespecies.org:taxname:219634	urn:lsid:marinespecies.org:taxname:219634	urn:lsid:marinespecies.org:taxname:219634	urn:lsid:marinespecies.org:taxname:125908	NA	Acanthurus xanthopterus	Acanthurus xanthopterus	Acanthurus	Cuvier, G.; Valenciennes, A. (1835). Histoire naturelle des poissons. <em>Tome dixième. Suite du livre neuvième. Scombéroïdes. Livre dixième. De la famille des Teuthyes. Livre onzième. De la famille des Taenioïdes. Livre douzième. Des Athérines.</em> v. 10: i-xxiv + 1-482 + 2 pp., Pls. 280-306.	1835	Animalia	Chordata	Teleostei	Acanthuriformes	Acanthuridae	Acanthurus	NA	xanthopterus	NA	Species	Valenciennes, 1835	ICZN	accepted	NA	2008-01-15	Froese, R. and D. Pauly. Editors. (2024). FishBase. Acanthurus xanthopterus Valenciennes, 1835. Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=219634	https://www.marinespecies.org/aphia.php?p=taxdetails&id=219634	NA	NA	NA	NA	NA	NCBI:txid75014	To GenBank (99 nucleotides; 81 proteins)	NA	ncbi	NA	219634	125908	Acanthurus xanthopterus	NCBI:txid12912	NCBI:txid75014
Achirus mazatlanus	R000009	279494	urn:lsid:marinespecies.org:taxname:279494	urn:lsid:marinespecies.org:taxname:279494	urn:lsid:marinespecies.org:taxname:279494	urn:lsid:marinespecies.org:taxname:268211	NA	Achirus mazatlanus	Achirus mazatlanus	Achirus	NA	NA	Animalia	Chordata	Teleostei	Pleuronectiformes	Achiridae	Achirus	NA	mazatlanus	NA	Species	(Steindachner, 1869)	ICZN	accepted	NA	2008-01-15	Froese, R. and D. Pauly. Editors. (2024). FishBase. Achirus mazatlanus (Steindachner, 1869). Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=279494	https://www.marinespecies.org/aphia.php?p=taxdetails&id=279494	NA	NA	NA	NA	NA	NCBI:txid644535	To Genbank	NA	ncbi	NA	279494	268211	Achirus mazatlanus	NCBI:txid253937	NCBI:txid644535
Acipenser medirostris	R000010	271695	urn:lsid:marinespecies.org:taxname:271695	urn:lsid:marinespecies.org:taxname:271695	urn:lsid:marinespecies.org:taxname:271695	urn:lsid:marinespecies.org:taxname:125618	NA	Acipenser medirostris	Acipenser medirostris	Acipenser	Ayres, W. O. (1854). [Description of new fishes from California.]. (Minutes of Academy meetings were printed in "The Pacific" (a newspaper) shortly after each meeting. New species date to publication in The Pacific. Dates of publication are given in each species account). The Pacific [newspaper] v. 3 and 4 (thru no. 6). [Also as Proc. Calif. Acad. Nat. Sci. v. 1: nos. 3-22. Reprinted in 2nd ed. of Academy's Proceedings, 1873.].	1854	Animalia	Chordata	Chondrostei	Acipenseriformes	Acipenseridae	Acipenser	NA	medirostris	NA	Species	Ayres, 1854	ICZN	accepted	NA	2008-01-15	Froese, R. and D. Pauly. Editors. (2024). FishBase. Acipenser medirostris Ayres, 1854. Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=271695	https://www.marinespecies.org/aphia.php?p=taxdetails&id=271695	NA	NA	NA	NA	NA	NCBI:txid7908	To GenBank (62 nucleotides; 73 proteins)	NA	ncbi	NA	271695	125618	Acipenser medirostris	NCBI:txid7901	NCBI:txid7908
