EU552681.1	NA;Chordata;Actinopteri;Clupeiformes;Clupeidae;Clupea;Clupea pallasii
EU552685.1	NA;Chordata;Actinopteri;Clupeiformes;Clupeidae;Clupea;Clupea harengus
AJ810141.1	NA;Chordata;Actinopteri;Labriformes;Labridae;Labrus;Labrus merula
AJ810142.1	NA;Chordata;Actinopteri;Labriformes;Labridae;Labrus;Labrus viridis
AY254494.1	NA;Chordata;Mammalia;Primates;Lepilemuridae;Lepilemur;Lepilemur seali
AF474220.1	NA;Chordata;Mammalia;Primates;Lepilemuridae;Lepilemur;Lepilemur sp. RANO236
OP034988.1	NA;Chordata;Actinopteri;Cichliformes;Cichlidae;Rubricatochromis;Rubricatochromis guttatus
OP034989.1	NA;Chordata;Actinopteri;Cichliformes;Cichlidae;Rubricatochromis;Rubricatochromis letourneuxi
OP034990.1	NA;Chordata;Actinopteri;Cichliformes;Cichlidae;Rubricatochromis;Rubricatochromis guttatus
OP034991.1	NA;Chordata;Actinopteri;Cichliformes;Cichlidae;Rubricatochromis;Rubricatochromis letourneuxi
OP034992.1	NA;Chordata;Actinopteri;Cichliformes;Cichlidae;Rubricatochromis;Rubricatochromis guttatus
OP034993.1	NA;Chordata;Actinopteri;Cichliformes;Cichlidae;Rubricatochromis;Rubricatochromis guttatus
OP034994.1	NA;Chordata;Actinopteri;Cichliformes;Cichlidae;Rubricatochromis;Rubricatochromis guttatus
OP034995.1	NA;Chordata;Actinopteri;Cichliformes;Cichlidae;Rubricatochromis;Rubricatochromis guttatus
OP034996.1	NA;Chordata;Actinopteri;Cichliformes;Cichlidae;Rubricatochromis;Rubricatochromis guttatus
OP034997.1	NA;Chordata;Actinopteri;Cichliformes;Cichlidae;Rubricatochromis;Rubricatochromis guttatus
OP034998.1	NA;Chordata;Actinopteri;Cichliformes;Cichlidae;Rubricatochromis;Rubricatochromis guttatus
OP035000.1	NA;Chordata;Actinopteri;Cichliformes;Cichlidae;Rubricatochromis;Rubricatochromis sp. 'neon'
OP035007.1	NA;Chordata;Actinopteri;Cichliformes;Cichlidae;Rubricatochromis;Rubricatochromis sp. 'neon'
EU715431.1	NA;Chordata;Actinopteri;Mugiliformes;Mugilidae;Mugil;Mugil platanus
