Run,ReleaseDate,LoadDate,spots,bases,spots_with_mates,avgLength,size_MB,AssemblyName,download_path,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,g1k_pop_code,source,g1k_analysis_group,Subject_ID,Sex,Disease,Tumor,Affection_Status,Analyte_Type,Histological_Type,Body_Site,CenterName,Submission,dbgap_study_accession,Consent,RunHash,ReadHash
DRR299195,2021-06-04 13:57:48,2021-06-04 13:33:08,352176495,41909002905,352176495,119,12202,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos1/sra-pub-zq-38/DRR000/299/DRR299195/DRR299195.lite.1,DRX288634,amphioxus scRNA seq mid gastrula,OTHER,other,TRANSCRIPTOMIC,PAIRED,91,0,ILLUMINA,Illumina NovaSeq 6000,DRP007364,PRJDB11463,,735339,DRS188524,SAMD00294414,simple,373177,Branchiostoma japonicum,SAMD00294414,,,,,,,no,,,,,OIST,DRA012161,,public,D06252AFCA035FA80B7BE03FEDEA4998,E1BBCCEE2BBA819C0E62E5E3EAD3ADD0
DRR299196,2021-06-04 13:57:48,2021-06-04 13:42:04,660981365,78656782435,660981365,119,22920,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos1/sra-pub-zq-38/DRR000/299/DRR299196/DRR299196.lite.1,DRX288635,amphioxus scRNA seq late gastrula,OTHER,other,TRANSCRIPTOMIC,PAIRED,91,0,ILLUMINA,Illumina NovaSeq 6000,DRP007364,PRJDB11463,,735339,DRS188525,SAMD00294415,simple,373177,Branchiostoma japonicum,SAMD00294415,,,,,,,no,,,,,OIST,DRA012161,,public,62B369E5F959F529548DCDA4F0659EB6,189A98F7A0FF7C26F6854538CEC38BAE
DRR299197,2021-06-04 13:57:48,2021-06-04 13:46:07,681254298,81069261462,681254298,119,23477,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos1/sra-pub-zq-38/DRR000/299/DRR299197/DRR299197.lite.1,DRX288636,amphioxus scRNA seq early neurula,OTHER,other,TRANSCRIPTOMIC,PAIRED,91,0,ILLUMINA,Illumina NovaSeq 6000,DRP007364,PRJDB11463,,735339,DRS188526,SAMD00294416,simple,373177,Branchiostoma japonicum,SAMD00294416,,,,,,,no,,,,,OIST,DRA012161,,public,F0FA44BCAD046358BCC21648F3A9FC4E,2406BF3A8D58E9F0B54480E3C8B498EB
DRR299198,2021-06-04 13:57:48,2021-06-04 13:45:53,660749485,78629188715,660749485,119,22918,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos1/sra-pub-zq-38/DRR000/299/DRR299198/DRR299198.lite.1,DRX288637,amphioxus scRNA seq mid neurula,OTHER,other,TRANSCRIPTOMIC,PAIRED,91,0,ILLUMINA,Illumina NovaSeq 6000,DRP007364,PRJDB11463,,735339,DRS188527,SAMD00294417,simple,373177,Branchiostoma japonicum,SAMD00294417,,,,,,,no,,,,,OIST,DRA012161,,public,1D64F34F0C3A162F66592D52D9911594,E72B630BE0FEB43EA15DEF90CD111137
DRR299199,2021-06-04 13:57:48,2021-06-04 13:41:41,619103669,73673336611,619103669,119,21422,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos1/sra-pub-zq-38/DRR000/299/DRR299199/DRR299199.lite.1,DRX288638,amphioxus scRNA seq late neurula,OTHER,other,TRANSCRIPTOMIC,PAIRED,91,0,ILLUMINA,Illumina NovaSeq 6000,DRP007364,PRJDB11463,,735339,DRS188528,SAMD00294418,simple,373177,Branchiostoma japonicum,SAMD00294418,,,,,,,no,,,,,OIST,DRA012161,,public,7BF1CA536EB3DCD14FEFC312B94EEDAA,FC277898A4931DA98574FCFFC59F61CC
DRR299200,2021-06-04 13:57:48,2021-06-04 13:38:42,658772670,78393947730,658772670,119,22900,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos1/sra-pub-zq-38/DRR000/299/DRR299200/DRR299200.lite.1,DRX288639,amphioxus scRNA seq early swimming larva,OTHER,other,TRANSCRIPTOMIC,PAIRED,91,0,ILLUMINA,Illumina NovaSeq 6000,DRP007364,PRJDB11463,,735339,DRS188529,SAMD00294419,simple,373177,Branchiostoma japonicum,SAMD00294419,,,,,,,no,,,,,OIST,DRA012161,,public,119C1B7D580C6BAB3E4192F055FDA399,14C448FCE80E8600EADBAB83C25BC0C7
DRR361353,2023-01-10 13:59:16,2023-01-10 13:47:14,79068,21527442,79068,272,12,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos2/sra-pub-zq-20/DRR000/361/DRR361353/DRR361353.lite.1,DRX347254,,WGS,RANDOM,GENOMIC,PAIRED,550,0,ILLUMINA,Illumina MiSeq,DRP009445,PRJDB13458,,922745,DRS273874,SAMD00467651,simple,2936611,Abarenicola claparedi oceanica,SAMD00467651,,,,,,,no,,,,,NIES,DRA013990,,public,2D6B4EC38EFFC15301EAB2568086E05D,8AEA63885504AFB1BC39116C4DA68248
DRR503888,2023-09-26 19:34:16,2023-09-26 20:12:59,857718,2068142126,0,2411,953,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-run-36/DRR000/503/DRR503888/DRR503888.1,DRX487880,,RNA-Seq,Oligo-dT,TRANSCRIPTOMIC,SINGLE,0,0,PACBIO_SMRT,PacBio RS II,DRP010568,PRJDB16674,,1021570,DRS332005,SAMD00645886,simple,373177,Branchiostoma japonicum,SAMD00645886,,,,,,,no,,,,,OIST,DRA017126,,public,706D87AAC3AC0CBD390F02569E753382,A8F73E67F7CF83C221DC7F176273FC18
DRR503889,2023-09-26 19:34:16,2023-09-26 20:27:35,127770199,15076883482,127770199,118,6688,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos2/sra-pub-zq-18/DRR000/503/DRR503889/DRR503889.lite.1,DRX487881,,RNA-Seq,Oligo-dT,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,DRP010568,PRJDB16674,,1021570,DRS332006,SAMD00645887,simple,373177,Branchiostoma japonicum,SAMD00645887,,,,,,,no,,,,,OIST,DRA017126,,public,8D24819821373260FB988C55B00878EB,2719F2AF929EC6E3B97F9FB99D5D76AA
SRR12011614,2020-06-15 04:00:20,2020-06-15 03:27:27,13639972,4091991600,13639972,300,1234,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-zq-22/SRR012/12011/SRR12011614/SRR12011614.lite.1,SRX8544279,Q14,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,SRP247070,PRJNA602496,,602496,SRS6838920,SAMN15232912,simple,373177,Branchiostoma japonicum,Q14,,,,,male,,no,,,,,UNIVERSITY OF VIENNA,SRA1086900,,public,20E2BBD4C0D519BD78817F97A2CB248B,4755462981CDF2FA2E5B30C51217D3BF
SRR12011610,2020-06-15 03:32:31,2020-06-15 03:28:15,15254732,4576419600,15254732,300,1385,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-zq-24/SRR012/12011/SRR12011610/SRR12011610.lite.1,SRX8544283,Q16,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,SRP247070,PRJNA602496,,602496,SRS6838924,SAMN15232916,simple,373177,Branchiostoma japonicum,Q16,,,,,female,,no,,,,,UNIVERSITY OF VIENNA,SRA1086900,,public,37B311823CDB1B1E3EB47E945EC63052,5404099A8AA754B76F77689787B1AA6B
SRR12011608,2020-06-15 03:50:37,2020-06-15 03:47:48,12818840,3845652000,12818840,300,1158,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-zq-24/SRR012/12011/SRR12011608/SRR12011608.lite.1,SRX8544285,Q17,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,SRP247070,PRJNA602496,,602496,SRS6838926,SAMN15232917,simple,373177,Branchiostoma japonicum,Q17,,,,,female,,no,,,,,UNIVERSITY OF VIENNA,SRA1086900,,public,8FA3FC855F41FDE088D158D996ACB0AC,BA5CEE2DE795634477B93500E558EBCA
SRR12011607,2020-06-15 03:32:31,2020-06-15 03:29:34,13887539,4166261700,13887539,300,1254,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-zq-24/SRR012/12011/SRR12011607/SRR12011607.lite.1,SRX8544286,Q18,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,SRP247070,PRJNA602496,,602496,SRS6838927,SAMN15232918,simple,373177,Branchiostoma japonicum,Q18,,,,,female,,no,,,,,UNIVERSITY OF VIENNA,SRA1086900,,public,86E490DB7AD34E6A70B5860957EB8ECF,8C367A6872A30C0EF9ACBEFC22D354DD
