"","species","SumDens","sp_code","speciesOrNo"
"1","OCTOPUS RUBESCENS",0.977563944780748,"57080XXXLV",1
"2","""STOCKY"" COPEPOD",22.27,"611799999x",1
"3","SCOLECITHRICELLA SPP",21.05,"6117XX97XX",1
"4","PARAEUCHAETA SP",1.94,"6117XX98XX",1
"5","CALANUS MARSHALLAE",3512.84,"6118010204",1
"6","CALANUS PACIFICUS",4417.74,"6118010205",1
"7","NEOCALANUS CRISTATUS",28.53,"6118010403",1
"8","NEOCALANUS PLUMCHRUS",432.53,"6118010404",1
"9","MESOCALANUS TENUICORNIS",555.2,"6118010901",1
"10","EUCALANUS CALIFORNICUS",12.33,"6118030102",1
"11","EUCALANUS BUNGII",4.71,"6118030102",1
"12","EUCALANUS HYALINUS",7.65,"6118030108",1
"13","RHINCALANUS NASUTUS",18.93,"6118030202",1
"14","PARACALANUS PARVUS",10383.71,"6118040101",1
"15","CALOCALANUS STYLIREMIS",815.32,"6118040201",1
"16","CALOCALANUS PAVO",219.77,"6118040202",1
"17","CALOCALANUS TENUIS",296.01,"6118040402",1
"18","CALOCALANUS PAVONINUS",60.2,"611804999x",1
"19","CLAUSOCALANUS ARCUICORNIS",2210.52,"6118050101",1
"20","CLAUSOCALANUS FURCATUS",1748.37,"6118050103",1
"21","CLAUSOCALANUS PERGENS",4276.29,"6118050104",1
"22","CLAUSOCALANUS PARAPERGENS",527.98,"6118050105",1
"23","CLAUSOCALANUS LIVIDUS",38.71,"6118050106",1
"24","CLAUSOCALANUS JOBEI",3.67,"6118050107",1
"25","CLAUSOCALANUS MASTIGOPHORUS",10.88,"6118050108",1
"26","CLAUSOCALANUS PAULULUS",69.92,"6118050109",1
"27","CLAUSOCALANUS FARRANI",54.74,"6118050199",1
"28","CTENOCALANUS VANUS",9658.69,"6118050201",1
"29","MICROCALANUS PUSILLUS",238.94,"6118050401",1
"30","AETIDEUS ARMATUS",9.42,"6118070201",1
"31","AETIDEUS PACIFICUS",30.43,"6118070202",1
"32","AETIDEUS DIVERGENS",2.73,"6118070203",1
"33","EUCHIRELLA ROSTRATA",5.91,"6118070908",1
"34","EUCHAETA MEDIA",9.8,"61180801xx",1
"35","SCOLECITHRICELLA MINOR",183.64,"6118100504",1
"36","SCOLECITHRICELLA OVATA",11.27,"6118100506",1
"37","PLEUROMAMMA BOREALIS",33.87,"61181603xx",1
"38","CENTROPAGES ABDOMINALIS",108.57,"6118170101",1
"39","CENTROPAGES BRADYI",17.38,"6118170102",1
"40","HETERORHABDUS PAPILLIGER",31.95,"6118220206",1
"41","HETEROSTYLITES LONGICORNIS",5.16,"6118220301",1
"42","CANDACIA BIPINNATA",23.56,"6118260101",1
"43","ACARTIA DANAE",344.68,"6118290102",1
"44","ACARTIA LONGIREMIS",13803.84,"6118290103",1
"45","ACARTIA TONSA",1946.37,"6118290104",1
"46","ACARTIA HUDSONICA",695.47,"6118290113",1
"47","ACARTIA NEGLIGENS",1.01,"61182901XX",1
"48","TORTANUS DISCAUDATUS",157.63,"6118300101",1
"49","SUBEUCALANUS SUBCRASSUS",36.56,"6118999997",1
"50","TEMORA DISCAUDATA",7.66,"6118999998",1
"51","CHIRUNDINA STREETSII",3.77,"6118999999",1
"52","CLYTEMNESTRA ROSTRATA",32.64,"6119120101",1
"53","BIG ONCAEA",14.67,"6120010399",1
"54","CORYCAEUS ANGLICUS",3189.84,"6120040101",1
"55","OITHONA SIMILIS",142121.26,"6120090103",1
