"qseqid.x","gi","accession","mismatch_forward","forward_start","forward_stop","staxids","distinct_entries.x","qseqid.y","mismatch_reverse","reverse_start","reverse_stop","distinct_entries.y","product_length","taxid","species","superkingdom","kingdom","phylum","subphylum","superclass","class","subclass","order","family","subfamily","genus","infraorder","subcohort","superorder","superfamily","tribe","subspecies","subgenus","species.group","parvorder","varietas"
"forward_row_1",37787266,"AY216545.1",3,2044,2071,"111846",2,"reverse_row_1",0,2420,2401,2,376,111846,"Notropis blennius",NA,"Metazoa","Chordata","Craniata","Actinopterygii","Actinopteri","Neopterygii","Cypriniformes","Leuciscidae","Pogonichthyinae","Notropis",NA,"Ostariophysi","Cypriniphysae",NA,NA,NA,NA,NA,NA,NA
"forward_row_1",55831679,"AY649177.1",1,63,87,"293415",2,"reverse_row_1",1,395,377,2,332,293415,"Takydromus sp. MCB 205",NA,"Metazoa","Chordata","Craniata","Sarcopterygii","Lepidosauria",NA,"Squamata","Lacertidae","Lacertinae","Takydromus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"forward_row_1",156121982,"EU068630.1",3,100,122,"462023",2,"reverse_row_1",1,417,400,2,317,462023,"Phalacrotophora sp. PTS-2007",NA,"Metazoa","Arthropoda","Hexapoda",NA,"Insecta","Pterygota","Diptera","Phoridae","Metopininae","Phalacrotophora","Muscomorpha",NA,NA,"Platypezoidea","Metopinini",NA,NA,NA,NA,NA
"forward_row_1",156121983,"EU068631.1",3,100,122,"461988",2,"reverse_row_1",1,414,397,2,314,461988,"Dohrniphora gigantea",NA,"Metazoa","Arthropoda","Hexapoda",NA,"Insecta","Pterygota","Diptera","Phoridae","Aenigmatiinae","Dohrniphora","Muscomorpha",NA,NA,"Platypezoidea",NA,NA,NA,NA,NA,NA
"forward_row_1",156121984,"EU068632.1",3,57,79,"461987",2,"reverse_row_1",1,373,356,2,316,461987,"Beckerina luteola",NA,"Metazoa","Arthropoda","Hexapoda",NA,"Insecta","Pterygota","Diptera","Phoridae","Metopininae","Beckerina","Muscomorpha",NA,NA,"Platypezoidea","Beckerinini",NA,NA,NA,NA,NA
"forward_row_1",197261292,"EU977364.1",3,31,53,"552817",2,"reverse_row_1",1,418,401,2,387,552817,"Engaeus leptorhynchus",NA,"Metazoa","Arthropoda","Crustacea","Multicrustacea","Malacostraca","Eumalacostraca","Decapoda","Parastacidae",NA,"Engaeus","Astacidea",NA,"Eucarida","Parastacoidea",NA,NA,NA,NA,NA,NA
"forward_row_1",197261306,"EU977378.1",3,33,53,"552818",2,"reverse_row_1",1,443,426,2,410,552818,"Engaeus rostrogaleatus",NA,"Metazoa","Arthropoda","Crustacea","Multicrustacea","Malacostraca","Eumalacostraca","Decapoda","Parastacidae",NA,"Engaeus","Astacidea",NA,"Eucarida","Parastacoidea",NA,NA,NA,NA,NA,NA
"forward_row_1",307343901,"FN687937.1",1,58,86,"426095",2,"reverse_row_1",0,489,475,2,431,426095,"Trigloporus lastoviza",NA,"Metazoa","Chordata","Craniata","Actinopterygii","Actinopteri","Neopterygii","Perciformes","Triglidae",NA,"Trigloporus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"forward_row_1",307343958,"FN687994.1",1,58,86,"8049",2,"reverse_row_1",0,489,475,2,431,8049,"Gadus morhua",NA,"Metazoa","Chordata","Craniata","Actinopterygii","Actinopteri","Neopterygii","Gadiformes","Gadidae",NA,"Gadus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"forward_row_1",307343963,"FN687999.1",2,58,86,"349665",2,"reverse_row_1",0,489,475,2,431,349665,"Helicolenus dactylopterus",NA,"Metazoa","Chordata","Craniata","Actinopterygii","Actinopteri","Neopterygii","Perciformes","Sebastidae","Sebastinae","Helicolenus",NA,NA,NA,NA,NA,"Helicolenus dactylopterus dactylopterus",NA,NA,NA,NA
"forward_row_1",307343969,"FN688005.1",1,58,86,"34817",2,"reverse_row_1",0,489,475,2,431,34817,"Hippoglossoides platessoides",NA,"Metazoa","Chordata","Craniata","Actinopterygii","Actinopteri","Neopterygii","Pleuronectiformes","Pleuronectidae",NA,"Hippoglossoides",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"forward_row_1",307343971,"FN688007.1",1,58,86,"179372",2,"reverse_row_1",0,489,475,2,431,179372,"Lepidorhombus boscii",NA,"Metazoa","Chordata","Craniata","Actinopterygii","Actinopteri","Neopterygii","Pleuronectiformes","Scophthalmidae",NA,"Lepidorhombus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"forward_row_1",307343984,"FN688020.1",1,58,86,"154550",2,"reverse_row_1",0,489,475,2,431,154550,"Lepidorhombus whiffiagonis",NA,"Metazoa","Chordata","Craniata","Actinopterygii","Actinopteri","Neopterygii","Pleuronectiformes","Scophthalmidae",NA,"Lepidorhombus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"forward_row_1",307343988,"FN688024.1",1,58,86,"27771",2,"reverse_row_1",0,489,475,2,431,27771,"Limanda limanda",NA,"Metazoa","Chordata","Craniata","Actinopterygii","Actinopteri","Neopterygii","Pleuronectiformes","Pleuronectidae",NA,"Limanda",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
