Project Requested,scientific_name,Point of Contact for Submission,Email,Common Name,Survey Type,Phylum,Subphylum,Superclass,Class,Subclass,Infraclass,Superorder,Order,Suborder,Infraorder,Superfamily,Family,Subfamily,Tribe,Genus,Subgenus,species,Describer,Taxon
SCAMMIT List,SILICEA,Donald B. Cadien | Kelvin L. Barwick | Brent M. Haggin,dcadien@lacsd.org | scoletoma@gmail.com | bhaggin@lacsd.org,,Monitored,SILICEA,,,,,,,,,,,,,,,,,,SILICEA
SCAMMIT List,Hexactinellida,Donald B. Cadien | Kelvin L. Barwick | Brent M. Haggin,dcadien@lacsd.org | scoletoma@gmail.com | bhaggin@lacsd.org,,Monitored,SILICEA,,,Hexactinellida,,,,,,,,,,,,,,,Hexactinellida
SCAMMIT List,Hexasterophora,Donald B. Cadien | Kelvin L. Barwick | Brent M. Haggin,dcadien@lacsd.org | scoletoma@gmail.com | bhaggin@lacsd.org,,Monitored,SILICEA,,,Hexactinellida,Hexasterophora,,,,,,,,,,,,,,Hexasterophora
SCAMMIT List,Sceptrulophora,Donald B. Cadien | Kelvin L. Barwick | Brent M. Haggin,dcadien@lacsd.org | scoletoma@gmail.com | bhaggin@lacsd.org,,Monitored,SILICEA,,,Hexactinellida,Hexasterophora,,,Sceptrulophora,,,,,,,,,,,Sceptrulophora
SCAMMIT List,Aphrocallistidae,Donald B. Cadien | Kelvin L. Barwick | Brent M. Haggin,dcadien@lacsd.org | scoletoma@gmail.com | bhaggin@lacsd.org,,Monitored,SILICEA,,,Hexactinellida,Hexasterophora,,,Sceptrulophora,,,,Aphrocallistidae,,,,,,,Aphrocallistidae
SCAMMIT List,Aphrocallistes sp,Donald B. Cadien | Kelvin L. Barwick | Brent M. Haggin,dcadien@lacsd.org | scoletoma@gmail.com | bhaggin@lacsd.org,,Monitored,SILICEA,,,Hexactinellida,Hexasterophora,,,Sceptrulophora,,,,Aphrocallistidae,,,Aphrocallistes,,,,Aphrocallistes sp
SCAMMIT List,Aphrocallistes vastus,Donald B. Cadien | Kelvin L. Barwick | Brent M. Haggin,dcadien@lacsd.org | scoletoma@gmail.com | bhaggin@lacsd.org,,Monitored,SILICEA,,,Hexactinellida,Hexasterophora,,,Sceptrulophora,,,,Aphrocallistidae,,,Aphrocallistes,,vastus,Schulze 1886,Aphrocallistes vastus
SCAMMIT List,Lyssacinosida,Donald B. Cadien | Kelvin L. Barwick | Brent M. Haggin,dcadien@lacsd.org | scoletoma@gmail.com | bhaggin@lacsd.org,,Monitored,SILICEA,,,Hexactinellida,Hexasterophora,,,Lyssacinosida,,,,,,,,,,,Lyssacinosida
SCAMMIT List,Rossellidae,Donald B. Cadien | Kelvin L. Barwick | Brent M. Haggin,dcadien@lacsd.org | scoletoma@gmail.com | bhaggin@lacsd.org,,Monitored,SILICEA,,,Hexactinellida,Hexasterophora,,,Lyssacinosida,,,,Rossellidae,,,,,,,Rossellidae
SCAMMIT List,Rossellinae,Donald B. Cadien | Kelvin L. Barwick | Brent M. Haggin,dcadien@lacsd.org | scoletoma@gmail.com | bhaggin@lacsd.org,,Monitored,SILICEA,,,Hexactinellida,Hexasterophora,,,Lyssacinosida,,,,Rossellidae,Rossellinae,,,,,,Rossellinae
SCAMMIT List,Aphorme sp,Donald B. Cadien | Kelvin L. Barwick | Brent M. Haggin,dcadien@lacsd.org | scoletoma@gmail.com | bhaggin@lacsd.org,,Monitored,SILICEA,,,Hexactinellida,Hexasterophora,,,Lyssacinosida,,,,Rossellidae,Rossellinae,,Aphorme,,,,Aphorme sp
SCAMMIT List,Aphorme horrida,Donald B. Cadien | Kelvin L. Barwick | Brent M. Haggin,dcadien@lacsd.org | scoletoma@gmail.com | bhaggin@lacsd.org,,Monitored,SILICEA,,,Hexactinellida,Hexasterophora,,,Lyssacinosida,,,,Rossellidae,Rossellinae,,Aphorme,,horrida,Schultze 1899,Aphorme horrida
SCAMMIT List,Acanthascinae,Donald B. Cadien | Kelvin L. Barwick | Brent M. Haggin,dcadien@lacsd.org | scoletoma@gmail.com | bhaggin@lacsd.org,,Monitored,SILICEA,,,Hexactinellida,Hexasterophora,,,Lyssacinosida,,,,Rossellidae,Acanthascinae,,,,,,Acanthascinae
SCAMMIT List,Rhabdocalyptus sp,Donald B. Cadien | Kelvin L. Barwick | Brent M. Haggin,dcadien@lacsd.org | scoletoma@gmail.com | bhaggin@lacsd.org,,Monitored,SILICEA,,,Hexactinellida,Hexasterophora,,,Lyssacinosida,,,,Rossellidae,Acanthascinae,,Rhabdocalyptus,,,,Rhabdocalyptus sp
SCAMMIT List,Rhabdocalyptus dawsoni,Donald B. Cadien | Kelvin L. Barwick | Brent M. Haggin,dcadien@lacsd.org | scoletoma@gmail.com | bhaggin@lacsd.org,,Monitored,SILICEA,,,Hexactinellida,Hexasterophora,,,Lyssacinosida,,,,Rossellidae,Acanthascinae,,Rhabdocalyptus,,dawsoni,(Lambe 1893),Rhabdocalyptus dawsoni
SCAMMIT List,Staurocalyptus sp,Donald B. Cadien | Kelvin L. Barwick | Brent M. Haggin,dcadien@lacsd.org | scoletoma@gmail.com | bhaggin@lacsd.org,,Monitored,SILICEA,,,Hexactinellida,Hexasterophora,,,Lyssacinosida,,,,Rossellidae,Acanthascinae,,Staurocalyptus,,,,Staurocalyptus sp
SCAMMIT List,Staurocalyptus dowlingi,Donald B. Cadien | Kelvin L. Barwick | Brent M. Haggin,dcadien@lacsd.org | scoletoma@gmail.com | bhaggin@lacsd.org,,Monitored,SILICEA,,,Hexactinellida,Hexasterophora,,,Lyssacinosida,,,,Rossellidae,Acanthascinae,,Staurocalyptus,,dowlingi,(Lambe 1893),Staurocalyptus dowlingi
SCAMMIT List,Demospongiae,Donald B. Cadien | Kelvin L. Barwick | Brent M. Haggin,dcadien@lacsd.org | scoletoma@gmail.com | bhaggin@lacsd.org,,Monitored,SILICEA,,,Demospongiae,,,,,,,,,,,,,,,Demospongiae
SCAMMIT List,Heteroscleromorpha,Donald B. Cadien | Kelvin L. Barwick | Brent M. Haggin,dcadien@lacsd.org | scoletoma@gmail.com | bhaggin@lacsd.org,,Monitored,SILICEA,,,Demospongiae,Heteroscleromorpha,,,,,,,,,,,,,,Heteroscleromorpha
SCAMMIT List,Haplosclerida,Donald B. Cadien | Kelvin L. Barwick | Brent M. Haggin,dcadien@lacsd.org | scoletoma@gmail.com | bhaggin@lacsd.org,,Monitored,SILICEA,,,Demospongiae,Heteroscleromorpha,,,Haplosclerida,,,,,,,,,,,Haplosclerida
