Family,ScientificName,ScientificNameAuthorship,CommonName,Notes,TaxonId
DRILLIIDAE,"Fusiturricula armilda","(Dall, 1908)",,,133825
DRILLIIDAE,"Globidrillia hemphillii","(Stearns, 1871)",,,134251
DRILLIIDAE,"Kylix halocydne","(Dall, 1919)",,,14269
DROMIIDAE,"Moreiradromia sarraburei","(Rathbun, 1910)",,,134049
DUGESIIDAE,"Girardia tigrina","(Girard, 1850)",,,145708
DULICHIIDAE,"Dulichia rhabdoplastis","McLoskey, 1970",,,59818
DULICHIIDAE,"Dulichiopsis abyssi","(Stephensen, 1944)",,,59830
DULICHIIDAE,"Dulichiopsis remis","(J. L. Barnard, 1964)",,,59835
DULICHIIDAE,"Dyopedos arcticus","(Murdoch, 1884)",,,59801
DULICHIIDAE,"Dyopedos bispinis","(Gurjanova, 1930)",,,59803
DULICHIIDAE,"Dyopedos monacanthus","(Metzger, 1875)",,,59807
DYSIDEIDAE,"Dysidea amblia","de Laubenfels, 1930",,,101968
ECHENEIBOTHRIIDAE,"Echeneibothrium bilobatum","Young, 1955",,,248721
ECHENEIBOTHRIIDAE,"Echeneibothrium macrascum","Riser, 1955",,,248722
ECHENEIBOTHRIIDAE,"Echeneibothrium myliobatidis","(Dailey & Mudry, 1968)",,,248146
ECHENEIBOTHRIIDAE,"Echeneibothrium myzorhynchum","Hart, 1936",,,248726
ECHENEIBOTHRIIDAE,"Echeneibothrium octorchis","Riser, 1955",,,248727
ECHENEIBOTHRIIDAE,"Echeneibothrium opisthorchis","(Riser, 1955)",,,242134
ECHINASTERIDAE,"Henricia aspera","Fisher, 1906",,,25981
ECHINASTERIDAE,"Henricia asthenactis","Fisher, 1910",,,25982
ECHINASTERIDAE,"Henricia clarki","Fisher, 1910",,,25994
ECHINASTERIDAE,"Henricia dyscrita","Fisher, 1911",,,146356
ECHINASTERIDAE,"Henricia leviuscula","(Stimpson, 1857)",,,25985
ECHINASTERIDAE,"Henricia leviuscula annectens","Fisher, 1910",,,26898
ECHINASTERIDAE,"Henricia obesa","(Sladen, 1889)",,,146360
ECHINASTERIDAE,"Henricia polyacantha","Fisher, 1911",,,25998
ECHINASTERIDAE,"Henricia pumila","Eernisse, Strathmann & Strathmann, 2010",,,146363
ECHINASTERIDAE,"Henricia sanguinolenta","(O. F. Müller, 1776)",,,25991
ECHINASTERIDAE,"Henricia spiculifera","(Clark, 1901)",,,25989
ECHINASTERIDAE,"Poraniopsis echinaster","Perrier, 1891",,,149573
ECHINASTERIDAE,"Poraniopsis inflata","(Fisher, 1906)",,,25999
ECHINASTERIDAE,"Poraniopsis inflata flexilis","Fisher, 1910",,,26902
ECHINISCIDAE,"Echiniscus becki","Schuster & Grigarick, 1966",,,248747
ECHINISCIDAE,"Echiniscus blumi","Richters, 1903",,,248748
ECHINISCIDAE,"Echiniscus canadensis","Murray, 1910",,,248749
ECHINISCIDAE,"Echiniscus oihonnae","Richters, 1903",,,248761
ECHINISCIDAE,"Echiniscus testudo","(Doyère, 1840)",,,248772
ECHINISCIDAE,"Pseudechiniscus raneyi","Grigarick, Mihelcic and Schuster, 1964",,,162707
ECHINISCIDAE,"Pseudechiniscus victor","(Ehrenberg, 1853)",,,162708
ECHINISCOIDIDAE,"Echiniscoides sigismundi","(M. Schultze, 1865)",,,248745
ECHINODERIDAE,"Cephalorhyncha nybakkeni","(Higgins, 1986)",,,248894
ECHINOMETRIDAE,"Echinometra vanbrunti","A. Agassiz, 1863",,,136589
ECHINONEIDAE,"Echinoneus burgeri","Grant & Hertlein, 1938",,,136594
ECHINORHYNCHIDAE,"Echinorhynchus canyonensis","Huffman & Kliever, 1977",,,248966
ECHINORHYNCHIDAE,"Echinorhynchus gadi","Zoega in Müller, 1776",,,136614
ECHINORHYNCHIDAE,"Echinorhynchus lageniformis","Ekbaum, 1938",,,248980
ECHINOSTOMATIDAE,"Acanthoparyphium spinulosum","Johnston, 1917",,,234164
ECHINOSTOMATIDAE,"Himasthla rhigedana",,,,109205
ECHINOTHURIIDAE,"Araeosoma leptaleum","A. Agassiz & H.L. Clark, 1909",,,116125
ECHINOTHURIIDAE,"Tromikosoma panamense","(A. Agassiz, 1898)",,,149655
ECHIURIDAE,"Anelassorhynchus abyssalis","Fisher, 1949",,,83818
ECHIURIDAE,"Arhynchite californicus","Fisher, 1949",,,83769
ECHIURIDAE,"Arhynchite inamoenus","Fisher, 1946",,,83771
ECHIURIDAE,"Arhynchite pugettensis","Fisher, 1949",,,83772
ECHIURIDAE,"Listriolobus hexamyotus","Fisher, 1949",,,83785
ECHIURIDAE,"Listriolobus pelodes","Fisher, 1946",,,83786
ECHIURIDAE,"Ochetostoma octomyotum","Fisher, 1946",,,83811
ECTINOSOMATIDAE,"Arenosetella kaiseri","Lang, 1965",,,52096
ECTINOSOMATIDAE,"Bradyellopsis foliatus","Watkins, 1987",,,240140
ECTINOSOMATIDAE,"Ectinosoma melaniceps","Boeck, 1865",,,55304
EDWARDSIIDAE,"Edwardsia californica","(McMurrich, 1913)","California burrowing anemone",,34879
EDWARDSIIDAE,"Edwardsia handi","Daly & Ljubenkov, 2008",,,136694
EDWARDSIIDAE,"Edwardsia juliae","Daly & Ljubenkov, 2008",,,136696
EDWARDSIIDAE,"Edwardsia mcmurrichi","Daly & Ljubenkov, 2008",,,136702
EDWARDSIIDAE,"Edwardsia olguini","Daly & Ljubenkov, 2008",,,136703
EDWARDSIIDAE,"Edwardsia profunda","Daly & Ljubenkov, 2008",,,136707
EDWARDSIIDAE,"Edwardsia sipunculoides","(Stimpson, 1853)","sipunculid anemone",,34875
EDWARDSIIDAE,"Nematostella vectensis","Stephenson, 1935",,,34882
EDWARDSIIDAE,"Paraedwardsia heia","Daly & Ljubenkov, 2008",,,162280
EDWARDSIIDAE,"Scolanthus scamiti","Daly & Ljubenkov, 2008",,,162890
EDWARDSIIDAE,"Scolanthus triangulus","Daly & Ljubenkov, 2008",,,162891
EIRENIDAE,"Eutonina indicans","(Romanes, 1876)",,,30241
EIRENIDAE,"Phialopsis diegensis","Torrey, 1909",,,30253
ELACHISINIDAE,"Elachisina grippi","Dall, 1918",,,2946
ELACHISINIDAE,"Elachisina saxicola","(C. B. Adams, 1852)",,,211923
ELECTRIDAE,"Aspidelectra melolontha","(Landsborough, 1852)",,,116268
ELECTRIDAE,"Einhornia crustulenta","(Pallas, 1766)",,,136730
ELECTRIDAE,"Electra crustulenta","(Pallas, 1776)",,,113520
ELECTRIDAE,"Electra crustulenta arctica","Borg, 1931",,,114417
ELLOBIIDAE,"Marinula rhoadsi","Pilsbry, 1910",,,114999
ELLOBIIDAE,"Melampus mousleyi","Berry, 1964",,,115013
ELLOBIIDAE,"Melampus olivaceus","Carpenter, 1856","California melampus",,6851
ELLOBIIDAE,"Melampus olivaceus californianus","S. S. Berry, 1964",,,275307
ELLOBIIDAE,"Myosotella denticulata","(Montagu, 1803)",,,138303
ELLOBIIDAE,"Myosotella myosotis","(Draparnaud, 1801)",,,3163
ELLOBIIDAE,"Ovatella myosotis","(Draparnaud, 1801)",,,6858
ELLOBIIDAE,"Pedipes liratus","Binney, 1860",,,187970
ELLOBIIDAE,"Pedipes mirabilis","(Megerle von Muhlfeld, 1816)","miraculous pedipes",,8219
ELLOBIIDAE,"Pedipes unisulcatus","J. G. Cooper, 1867","one-groove pedipes",,8220
ELPHIDIELLIDAE,"Elphidiella hannai","(Cushman & Grant, 1927)",,,137162
ELPIDIIDAE,"Scotoplanes globosa","(Théel, 1879)",,,26646
EMPLECTONEMATIDAE,"Emplectonema gracile","(Johnston, 1837)",,,137279
EMPLECTONEMATIDAE,"Nemertopsis gracilis","Coe, 1904",,,167201
ENOPLIDAE,"Enoplus meridionalis","Steiner, 1921",,,97760
ENOPLOTEUTHIDAE,"Abraliopsis falco","Young, 1972",,,24416
ENOPLOTEUTHIDAE,"Abraliopsis felis","McGowan and Okutani, 1968",,,24414
ENTEROCTOPODIDAE,"Enteroctopus dofleini","(Wülker, 1910)","North Pacific giant octopus",,24363
ENTOCYTHERIDAE,"Uncinocythere neglecta","(Westervelt and Kozloff, 1959)",,,54294
ENTONISCIDAE,"Portunion conformis","Muscatine, 1956",,,67305
EPIALTIDAE,"Epialtoides hiltoni","(M. J. Rathbun, 1923)","winged kelp crab",,77109
EPIALTIDAE,"Epialtus bituberculatus","H. Milne Edwards, 1834","variegate spider crab",,77013
EPIALTIDAE,"Epialtus productus",,,,77009
EPIALTIDAE,"Mimulus foliatus","Stimpson, 1860","foliate kelp crab",,77003
EPIALTIDAE,"Pugettia dalli","M. J. Rathbun, 1893","spined kelp crab",,77007
EPIALTIDAE,"Pugettia foliata","(Stimpson, 1860)",,,153096
EPIALTIDAE,"Pugettia gracilis","Dana, 1851","graceful kelp crab",,77006
EPIALTIDAE,"Pugettia producta","(J. W. Randall, 1840)","northern kelp crab",,77004
EPIALTIDAE,"Pugettia richii","Dana, 1851","cryptic kelp crab",,77005
EPIALTIDAE,"Pugettia venetiae","M. J. Rathbun, 1924","Venice kelp crab",,77008
EPIALTIDAE,"Taliepus nuttallii","(J. W. Randall, 1840)","globose kelp crab",,77105
EPIPHRAGMOPHORIDAE,"Epiphragmophora traskii","(Newcomb, 1861)",,,257393
EPIPHRAGMOPHORIDAE,"Epiphragmophora traskii isidroensis","Bartsch, 1918",,,276316
EPISTOMIIDAE,"Synnotum aegyptiacum","(Audouin, 1826)",,,113703
EPITONIIDAE,"Acirsa borealis","(Lyell, 1841)","chalky wentletrap",,5297
EPITONIIDAE,"Amaea ferminiana","(Dall, 1908)",,,160462
EPITONIIDAE,"Boreoscala greenlandica","(G. Perry, 1811)",,,5300
EPITONIIDAE,"Epitonium acapulcanum","Dall, 1917",,,152256
EPITONIIDAE,"Epitonium aciculinum","(Hinds, 1844)",,,137732
EPITONIIDAE,"Epitonium apiculatum","(Dall, 1889)","semismooth wentletrap",,5215
EPITONIIDAE,"Epitonium bellastriatum","(Carpenter, 1864)",,,149244
EPITONIIDAE,"Epitonium berryi","(Dall, 1907)",,,132792
EPITONIIDAE,"Epitonium caamanoi","Dall and Bartsch, 1910",,,5198
EPITONIIDAE,"Epitonium californicum","Dall, 1917",,,182112
EPITONIIDAE,"Epitonium canna","Dall, 1919",,,231145
EPITONIIDAE,"Epitonium catalinae","Dall, 1908",,,5196
EPITONIIDAE,"Epitonium clathrus","(Linnaeus, 1758)",,,119878
EPITONIIDAE,"Epitonium cookeanum","Dall, 1917",,,137755
EPITONIIDAE,"Epitonium crebricostatum","Carpenter, 1864",,,151640
EPITONIIDAE,"Epitonium cumingii","(Carpenter, 1856)",,,160939
EPITONIIDAE,"Epitonium elenense","(G. B. Sowerby, 1844)",,,149245
EPITONIIDAE,"Epitonium eutaenium",,,,175548
EPITONIIDAE,"Epitonium foliaceicosta","(d'Orbigny, 1842)",,,5220
EPITONIIDAE,"Epitonium hexagonum","(G. B. Sowerby II, 1844)",,,179707
EPITONIIDAE,"Epitonium hindsii","(Carpenter, 1856)",,,119879
EPITONIIDAE,"Epitonium humphreysii","(Kiener, 1838)",,,5212
EPITONIIDAE,"Epitonium indianorum","(Carpenter, 1864)",,,5197
EPITONIIDAE,"Epitonium linctum","(de Boury & Monterosato, 1890)",,,132832
EPITONIIDAE,"Epitonium lowei","(Dall, 1906)",,,5241
EPITONIIDAE,"Epitonium minuticostatum","(de Boury, 1912)",,,231157
EPITONIIDAE,"Epitonium multicostatum","(Sowerby, 1844)",,,152257
EPITONIIDAE,"Epitonium obtusum","(G. B. Sowerby, 1844)",,,154301
EPITONIIDAE,"Epitonium sawinae","(Dall, 1903)",,,5242
EPITONIIDAE,"Epitonium tinctorium","Dall, 1919",,,160952
EPITONIIDAE,"Gyroscala commutata","(Monterosato, 1877)",,,179832
EPITONIIDAE,"Nitidiscala catalinensis","(Dall, 1917)",,,5312
EPITONIIDAE,"Nitidiscala hindsii","(Carpenter, 1856)",,,5313
EPITONIIDAE,"Nitidiscala indianorum","(Carpenter, 1864)","money wentletrap",,5314
EPITONIIDAE,"Nitidiscala sawinae","(Dall, 1903)",,,5315
EPITONIIDAE,"Nitidiscala tincta","(Carpenter, 1864)","tinted wentletrap",,5307
EPITONIIDAE,"Opalia borealis","Keep, 1881","boreal wentletrap",,5285
EPITONIIDAE,"Opalia chacei","Strong, 1937",,,5263
EPITONIIDAE,"Opalia crenatoides","(Carpenter, 1864)",,,5265
EPITONIIDAE,"Opalia evicta","De Boury, 1919",,,5246
EPITONIIDAE,"Opalia funiculata","(Carpenter, 1857)","scalloped wentletrap",,5269
EPITONIIDAE,"Opalia montereyensis","(Dall, 1907)","Monterey wentletrap",,5247
EPITONIIDAE,"Opalia retiporosa","(Carpenter, 1864)",,,5278
EPITONIIDAE,"Opalia spongiosa","(Carpenter, 1866)",,,5281
EPITONIIDAE,"Opalia wroblewskii","(Morch, 1876)",,,5248
EPITONIIDAE,"Opalia wroblewskyi","(Mörch, 1875)",,,148666
EPIZOANTHIDAE,"Epizoanthus giveni","Philipp & Fautin, 2009",,,137808
EPIZOANTHIDAE,"Epizoanthus induratum","Cutress and Pequegnat, 1960",,,28324
EPIZOANTHIDAE,"Epizoanthus leptoderma","Cutress and Pequegnat, 1960",,,28327
EPIZOANTHIDAE,"Epizoanthus scotinus","Wood, 1958",,,28321
ERATOIDAE,"Archierato columbella","(Menke, 1847)",,,224102
ERATOIDAE,"Archierato michaelmonti","Fehse & Simone, 2020",,,224110
ERATOIDAE,"Archierato rhondae","Fehse & Simone, 2020",,,224113
ERATOIDAE,"Erato albescens","Dall, 1905",,,5908
ERATOIDAE,"Erato columbella","Menke, 1847",,,5906
ERATOIDAE,"Erato vitellina","(Hinds, 1844)",,,5907
ERATOIDAE,"Hespererato columbella","(Menke, 1847)","pigeon erato",,3036
ERATOIDAE,"Hespererato scabriuscula","(Gray, 1832)",,,137841
ERATOIDAE,"Hespererato vitellina","(Hinds, 1844)","appleseed erato",,3038
ERIOPISIDAE,"Eriopisa elongata","(Bruzelius, 1859)",,,58982
ERPOBDELLIDAE,"Dina anoculata","Moore, 1898",,,92249
ERPOBDELLIDAE,"Dina dubia","(Moore and Meyer, 1951)",,,92247
ERPOBDELLIDAE,"Dina microstoma","Moore, 1901",,,91896
ERPOBDELLIDAE,"Dina parva","Moore, 1912",,,92246
ERPOBDELLIDAE,"Erpobdella lahontana","Hovingh and Klemm, 1999",,,92393
ERPOBDELLIDAE,"Erpobdella punctata","(Leidy, 1870)",,,92411
ERPOBDELLIDAE,"Erpobdella triannulata","Moore, 1908",,,92392
ERPOBDELLIDAE,"Mooreobdella microstoma","(Moore, 1901)",,,92413
ESCARPIIDAE,"Escarpia spicata","Jones, 1985",,,84308
EUBRANCHIDAE,"Eubranchus misakiensis","Baba, 1960","Misaki balloon aeolis",,15193
EUBRANCHIDAE,"Eubranchus occidentalis","MacFarland, 1966",,,138074
EUBRANCHIDAE,"Eubranchus olivaceus","(O'Donoghue, 1922)","green balloon aeolis",,15185
EUBRANCHIDAE,"Eubranchus rupium","(Møller, 1842)",,,138076
EUBRANCHIDAE,"Eubranchus rustyus","(Er. Marcus, 1961)",,,15194
EUBRANCHIDAE,"Eubranchus steinbecki","Behrens, 1987",,,11488
EUBRANCHIDAE,"Leostyletus misakiensis","(Baba, 1960)",,,148453
EUCALANIDAE,"Eucalanus bungii","Giesbrecht, 1892",,,54562
EUCALANIDAE,"Eucalanus bungii californicus","Johnson, 1935",,,65985
EUCALANIDAE,"Eucalanus elongatus","(Dana, 1848)",,,54563
EUCALANIDAE,"Eucalanus mucronatus","Giesbrecht, 1888",,,54569
EUCALODIIDAE,"Coelocentrum insulare","Hanna, 1923",,,256285
EUCALODIIDAE,"Coelocentrum vanduzeei","Hanna, 1923",,,256286
EUCHAETIDAE,"Euchaeta acuta","Giesbrecht, 1892",,,54742
EUCHAETIDAE,"Euchaeta marina","(Prestandrea, 1833)",,,54755
EUCHAETIDAE,"Euchaeta spinosa","Giesbrecht, 1892",,,54770
EUCHAETIDAE,"Paraeuchaeta incisa","(G. O. Sars, 1905)",,,51345
EUCHAETIDAE,"Paraeuchaeta paraprudens","Park, 1995",,,51348
EUCHAETIDAE,"Paraeuchaeta plaxiphora","Park, 1995",,,51349
EUCHAETIDAE,"Paraeuchaeta scopaeorhina","Park, 1995",,,51355
EUCHAETIDAE,"Paraeuchaeta tonsa","(Giesbrecht, 1895)",,,54773
EUCHAETIDAE,"Paraeuchaeta triloba","Park, 1995",,,51357
EUCHEILOTIDAE,"Eucheilota bakeri","(Torrey, 1909)",,,30870
HELICARIONIDAE,"Euconulus fulvus","(Muller, 1774)","brown hive",,7511
EUCONULIDAE,"Euconulus fulvus egenus","(Say, 1825)",,,276327
EUCOPIIDAE,"Eucopia australis","Dana, 1852",,,40578
EUCOPIIDAE,"Eucopia unguiculata","(Willemoes-Suhm, 1875)",,,40577
EUCYCLIDAE,"Bathybembix bairdii","(Dall, 1889)",,,12239
EUCYCLIDAE,"Calliotropis ceratophora","(Dall, 1896)",,,240981
EUCYCLIDAE,"Calliotropis equatorialis","(Dall, 1896)",,,175420
EUCYCLIDAE,"Cidarina cidaris","(A. Adams, 1864)",,,12243
EUCYCLIDAE,"Lischkeia cidaris","(Carpenter, 1864)",,,19618
EUCYCLIDAE,"Turcica admirabilis","S. S. Berry, 1969",,,12227
EUCYCLIDAE,"Turcica caffea","(Gabb, 1865)","two-tooth topsnail",,12226
EUDACTYLINIDAE,"Bariaka pamelae",,,,57704
EUDACTYLINIDAE,"Nemesis lamna","Risso, 1826",,,57692
EUDENDRIIDAE,"Eudendrium arbuscula","Wright, 1859",,,35803
EUDENDRIIDAE,"Eudendrium californicum","Torrey, 1902",,,34208
EUDENDRIIDAE,"Eudendrium carneum","Clarke, 1882",,,34195
EUDENDRIIDAE,"Eudendrium rameum","(Pallas, 1766)",,,34191
EUDENDRIIDAE,"Eudendrium ramosum","(Linnaeus, 1758)",,,34193
EUDENDRIIDAE,"Eudendrium vaginatum","Allman, 1863",,,34197
EUKROHNIIDAE,"Eukrohnia hamata","(Möbius, 1875)",,,138330
EULIMIDAE,"Aclis californica","Bartsch, 1927",,,5335
EULIMIDAE,"Aclis shepardiana","Dall, 1919",,,5354
EULIMIDAE,"Asterophila rathbunasteri","Warén in Warén & Lewis, 1994",,,116309
EULIMIDAE,"Balcis thersites","(Carpenter, 1864)",,,5434
EULIMIDAE,"Eulima almo","(Bartsch, 1917)",,,5421
EULIMIDAE,"Eulima compacta","Carpenter, 1864",,,187101
EULIMIDAE,"Eulima fuscostrigata","P. P. Carpenter, 1864",,,276339
EULIMIDAE,"Eulima raymondi","Rivers, 1904","California eulima",,2970
EULIMIDAE,"Eulima recurva","Boettger, 1893",,,155508
EULIMIDAE,"Eulima thersites","Carpenter, 1864",,,116521
EULIMIDAE,"Haliella abyssicola","Bartsch, 1917",,,146115
EULIMIDAE,"Hypermastus randolphi","(Vanatta, 1900)",,,3054
EULIMIDAE,"Melanella baldra","Bartsch, 1917",,,275309
EULIMIDAE,"Melanella berryi","Bartsch, 1917",,,5397
EULIMIDAE,"Melanella californica","Bartsch, 1917",,,5392
EULIMIDAE,"Melanella catalinensis","Bartsch, 1917",,,5394
EULIMIDAE,"Melanella columbiana","Bartsch, 1917",,,5366
EULIMIDAE,"Melanella compacta","(Carpenter, 1866)",,,5399
EULIMIDAE,"Melanella cosmia","Bartsch, 1917",,,275310
EULIMIDAE,"Melanella delmontensis","(A. G. Smith and M. Gordon, 1948)",,,5400
EULIMIDAE,"Melanella falcata","(P. P. Carpenter, 1865)",,,275311
EULIMIDAE,"Melanella grippi","Bartsch, 1917",,,5403
EULIMIDAE,"Melanella lastra","Bartsch, 1917",,,5404
EULIMIDAE,"Melanella macra","Bartsch, 1917",,,5405
EULIMIDAE,"Melanella micans","(Carpenter, 1865)",,,3135
EULIMIDAE,"Melanella montereyensis","Bartsch, 1917","Monterey eulima",,5406
EULIMIDAE,"Melanella oldroydae","Bartsch, 1917",,,5390
EULIMIDAE,"Melanella peninsularis","Bartsch, 1917","Baja eulima",,5407
EULIMIDAE,"Melanella rutila","(Carpenter, 1864)",,,5373
EULIMIDAE,"Melanella solitaria","(E. A. Smith, 1915)",,,155510
EULIMIDAE,"Melanella tacomaensis","Bartsch, 1917","Tacoma eulima",,5408
EULIMIDAE,"Melanella thersites","(Carpenter, 1864)",,,3138
EULIMIDAE,"Melanella tia","(Bartsch, 1926)",,,175773
EULIMIDAE,"Niso attilioi","(C. M. Hertz and J. Hertz, 1982)",,,3182
EULIMIDAE,"Niso hipolitensis","Bartsch, 1917","Hipolito niso",,5426
EULIMIDAE,"Niso lomana","Bartsch, 1917",,,5427
EULIMIDAE,"Polygireulima rutila","(Carpenter, 1866)","auburn eulima",,3257
EULIMIDAE,"Pseudosabinella bakeri","(Bartsch, 1917)",,,3267
EULIMIDAE,"Sabinella bakeri","Bartsch, 1917",,,5435
EULIMIDAE,"Strombiformis almo","Bartsch, 1917",,,5417
EULIMIDAE,"Strombiformis californicus","Bartsch, 1917",,,5418
EULIMIDAE,"Vitreolina columbiana","(Bartsch, 1917)",,,3460
EULIMIDAE,"Vitreolina macra","(Bartsch, 1917)",,,3461
EULIMIDAE,"Vitreolina yod","(Carpenter, 1857)",,,3462
EUNICIDAE,"Eunice americana",,,,85819
EUNICIDAE,"Eunice antennata","(Savigny, 1820)",,,85815
EUNICIDAE,"Eunice biannulata",,,,85809
EUNICIDAE,"Eunice hawaiensis","Treadwell, 1906",,,85840
EUNICIDAE,"Eunice multicylindri","Shisko, 1981",,,257546
EUNICIDAE,"Eunice multipectinata",,,,85821
EUNICIDAE,"Eunice segregata","(Chamberlin, 1919)",,,257548
EUNICIDAE,"Eunice semisegregata","Fauchald, 1969",,,257549
EUNICIDAE,"Eunice tibiana","(Pourtalès, 1867)",,,231276
EUNICIDAE,"Eunice valens",,,,85808
EUNICIDAE,"Eunice vittata","(Delle Chiaje, 1828)",,,85812
EUNICIDAE,"Leodice lucei","(Grube, 1856)",,,231774
EUNICIDAE,"Leodice valens","Chamberlin, 1919",,,154920
EUNICIDAE,"Lysidice ninetta","Audouin and Milne-Edwards, 1833",,,85858
EUNICIDAE,"Marphysa californica","Moore, 1909",,,161674
EUNICIDAE,"Marphysa conferta",,,,85849
EUNICIDAE,"Marphysa disjuncta",,,,85850
EUNICIDAE,"Marphysa sanguinea","(Montagu, 1815)",,,85842
EUNICIDAE,"Marphysa stylobranchiata",,,,85844
EUNICIDAE,"Palola paloloides",,,,85864
EUNICIDAE,"Palola siciliensis","(Grube, 1840)",,,85861
EUPHAUSIIDAE,"Euphausia pacifica","Hansen, 1911",,,42137
EUPHAUSIIDAE,"Euphausia recurva","Hansen, 1905",,,42148
EUPHAUSIIDAE,"Nematoscelis difficilis","Hansen, 1911",,,42172
EUPHAUSIIDAE,"Nyctiphanes simplex","Hansen, 1911",,,42182
EUPHAUSIIDAE,"Thysanoessa gregaria","G. O. Sars, 1885",,,42199
EUPHAUSIIDAE,"Thysanoessa longipes","Brandt, 1851",,,42203
EUPHAUSIIDAE,"Thysanoessa spinifera","Holmes, 1900",,,42205
EUPHROSINIDAE,"Euphrosine arctia","Johnson, 1897",,,138521
EUPHROSINIDAE,"Euphrosine bicirrata",,,,85013
EUPHROSINIDAE,"Euphrosine dumosa","Moore, 1911",,,138522
EUPHROSINIDAE,"Euphrosine hortensis",,,,85015
EUPLECTELLIDAE,"Docosaccus maculatus","Kahn, Geller, Reiswig & Smith Jr., 2013",,,118833
EUPLECTELLIDAE,"Saccocalyx careyi","(Reiswig, 1999)",,,162067
EUPRONOIDAE,"Eupronoe minuta",,,,75596
EUPRONOIDAE,"Parapronoe crustulum",,,,75599
EURETIDAE,"Chonelasma calyx","Schulze, 1887",,,104885
EURETIDAE,"Chonelasma tenerum","Schulze, 1887",,,104886
EURHAMPHAEIDAE,"Kiyohimea usagi","Matsumoto & Robison, 1992",,,147246
EURYLEPTIDAE,"Eurylepta aurantiaca",,,,106835
EURYLEPTIDAE,"Eurylepta californica","Hyman, 1959",,,106837
EURYPHORIDAE,"Gloiopotes huttoni","(G. M. Thomson, 1889)",,,57634
EURYPHORIDAE,"Gloiopotes ornatus","C. B. Wilson, 1905",,,57632
EURYSTOMELLIDAE,"Eurystomella bilabiata",(Hincks),,,112049
EURYSTOMELLIDAE,"Integripelta bilabiata","(Hincks, 1884)",,,147001
EUSIRIDAE,"Eusirus longipes","Boeck, 1861",,,46741
EUSIRIDAE,"Rhachotropis clemens","J. L. Barnard, 1967",,,58964
EUSIRIDAE,"Rhachotropis distincta","(Holmes, 1908)",,,58958
EUSIRIDAE,"Rhachotropis inflata","(G. O. Sars, 1882)",,,58959
EUSIRIDAE,"Rhachotropis oculata","(Hansen, 1887)",,,58962
EXECHONELLIDAE,"Coleopora gigantea","Osburn, 1952",,,181856
FACELINIDAE,"Austraeolis stearnsi","(Cockerell, 1901)",,,116439
FACELINIDAE,"Emarcusia morroensis","Roller, 1972","orange-blotch aeolis",,15264
FACELINIDAE,"Noumeaella rubrofasciata","Gosliner, 1991",,,11631
FACELINIDAE,"Phidiana hiltoni","(O'Donoghue, 1927)","pugnaceous aeolis",,15272
FACELINIDAE,"Phidiana pugnax","Lance, 1962",,,15271
FACELINIDAE,"Sakuraeolis enosimensis","(Baba, 1930)","white-tentacle Japanese aeolis",,15266
FARREIDAE,"Farrea aculeata","Schulze, 1899",,,103289
FARREIDAE,"Farrea convolvulus",,,,103288
FARREIDAE,"Farrea schulzei","Reiswig, 2018",,,257685
FASCIOLARIIDAE,"Araiofusus araios","Callomon & Snyder, 2017",,,213641
FASCIOLARIIDAE,"Araiofusus eueides","Callomon & Snyder, 2017",,,213642
FASCIOLARIIDAE,"Barbarofusus barbarensis","(Trask, 1855)",,,179450
FASCIOLARIIDAE,"Barbarofusus kobelti","(Dall, 1877)",,,139816
FASCIOLARIIDAE,"Fasciolaria tulipa","(Linnaeus, 1758)","true tulip",,13439
FASCIOLARIIDAE,"Fusinus barbarensis","(Trask, 1855)","Santa Barbara spindle",,13456
FASCIOLARIIDAE,"Fusinus diminutus","Dall, 1915",,,276367
FASCIOLARIIDAE,"Fusinus dupetitthouarsi","(Kiener, 1840)",,,120032
FASCIOLARIIDAE,"Fusinus harfordii","(Stearns, 1871)",,,13461
FASCIOLARIIDAE,"Fusinus irregularis","(Grabau, 1904)",,,120037
FASCIOLARIIDAE,"Fusinus kobelti","(Dall, 1877)",,,13462
FASCIOLARIIDAE,"Fusinus luteopictus","(Dall, 1877)","painted spindle",,13455
FASCIOLARIIDAE,"Fusinus monksae","Dall, 1915",,,13457
FASCIOLARIIDAE,"Fusinus verrucosus","(Gmelin, 1791)",,,133818
FASCIOLARIIDAE,"Goniofusus dupetitthouarsi","(Kiener, 1840)",,,154361
FASCIOLARIIDAE,"Harfordia arnoldi","(Cossmann, 1903)",,,224276
FASCIOLARIIDAE,"Harfordia chucksnelli","Callomon & Snyder, 2017",,,224277
FASCIOLARIIDAE,"Harfordia harfordii","(Stearns, 1871)",,,224278
FASCIOLARIIDAE,"Harfordia mcleani","Callomon & Snyder, 2017",,,224279
FASCIOLARIIDAE,"Harfordia robusta","(Trask, 1855)",,,224280
FASCIOLARIIDAE,"Hesperaptyxis ambustus","(Gould, 1853)",,,120024
FASCIOLARIIDAE,"Hesperaptyxis cinereus","(Reeve, 1847)",,,133762
FASCIOLARIIDAE,"Hesperaptyxis luteopictus","(Dall, 1877)",,,124091
FASCIOLARIIDAE,"Leucozonia rudis","(Reeve, 1847)",,,120448
FASCIOLARIIDAE,"Opeatostoma pseudodon","(Burrow, 1815)",,,121200
FASCIOLARIIDAE,"Polygona tumens","(Carpenter, 1856)",,,161356
