OQ883843.1	NA;Chordata;Actinopteri;Anguilliformes;Eurypharyngidae;Eurypharynx;Eurypharynx pelecanoides
LC021013.1	NA;Chordata;Actinopteri;Salmoniformes;Salmonidae;Salvelinus;Salvelinus leucomaenis
LC386167.1	NA;Chordata;Actinopteri;Salmoniformes;Salmonidae;Salvelinus;Salvelinus environmental sample
LC468898.1	NA;Chordata;Actinopteri;Salmoniformes;Salmonidae;Salvelinus;Salvelinus leucomaenis
LC021180.1	NA;Chordata;Actinopteri;Gadiformes;Muraenolepididae;Muraenolepis;Muraenolepis marmorata
LC091812.1	NA;Chordata;Actinopteri;Gadiformes;Muraenolepididae;Muraenolepis;Muraenolepis marmorata
LC091813.1	NA;Chordata;Actinopteri;Gadiformes;Muraenolepididae;Muraenolepis;Muraenolepis orangiensis
FJ215066.1	NA;Chordata;Actinopteri;Gadiformes;Muraenolepididae;Muraenolepis;Muraenolepis marmorata
FJ215067.1	NA;Chordata;Actinopteri;Gadiformes;Muraenolepididae;Muraenolepis;Muraenolepis microps
FJ215068.1	NA;Chordata;Actinopteri;Gadiformes;Muraenolepididae;Muraenolepis;Muraenolepis orangiensis
MZ927334.1	NA;Chordata;Actinopteri;Scombriformes;Scombridae;Scomberomorus;Scomberomorus cf. guttatus
MZ927335.1	NA;Chordata;Actinopteri;Scombriformes;Scombridae;Scomberomorus;Scomberomorus cf. guttatus
MZ927336.1	NA;Chordata;Actinopteri;Scombriformes;Scombridae;Scomberomorus;Scomberomorus cf. guttatus ScfgutMg3
MZ927337.1	NA;Chordata;Actinopteri;Scombriformes;Scombridae;Scomberomorus;Scomberomorus cf. guttatus
MZ927338.1	NA;Chordata;Actinopteri;Scombriformes;Scombridae;Scomberomorus;Scomberomorus cf. guttatus
LC091827.1	NA;Chordata;Actinopteri;Gadiformes;Gadidae;Gadus;Gadus macrocephalus
OR380554.1	NA;Chordata;Actinopteri;Gadiformes;Gadidae;Gadus;Gadus morhua
OR380607.1	NA;Chordata;Actinopteri;Gadiformes;Gadidae;Gadus;Gadus morhua
OR380696.1	NA;Chordata;Actinopteri;Gadiformes;Gadidae;Gadus;Gadus morhua
AB686164.1	NA;Chordata;Amphibia;Gymnophiona;Ichthyophiidae;NA;Ichthyophiidae sp. DO255
AB686165.1	NA;Chordata;Amphibia;Gymnophiona;Ichthyophiidae;NA;Ichthyophiidae sp. DO256
AB686135.1	NA;Chordata;Amphibia;Gymnophiona;Ichthyophiidae;NA;Ichthyophiidae sp. KUHE 42468
AB686136.1	NA;Chordata;Amphibia;Gymnophiona;Ichthyophiidae;NA;Ichthyophiidae sp. KUHE 42469
AB719248.1	NA;Chordata;Amphibia;Anura;Megophryidae;Megophrys;Megophrys nasuta
MG993554.1	NA;Chordata;Amphibia;Anura;Megophryidae;Pelobatrachus;Pelobatrachus kalimantanensis
AF271690.1	NA;Chordata;Mammalia;Dasyuromorphia;Dasyuridae;Planigale;Planigale ingrami
KX523249.1	NA;Chordata;Mammalia;Dasyuromorphia;Dasyuridae;Planigale;Planigale ingrami
KX523257.1	NA;Chordata;Mammalia;Dasyuromorphia;Dasyuridae;Planigale;Planigale tenuirostris
LC020915.1	NA;Chordata;Actinopteri;Anguilliformes;Congridae;Ariosoma;Ariosoma cf. megalops KAUM:I:55863
LC277769.1	NA;Chordata;Actinopteri;Anguilliformes;Congridae;Ariosoma;Ariosoma sp. FRLM:36604
LC091573.1	NA;Chordata;Actinopteri;Acipenseriformes;Acipenseridae;Scaphirhynchus;Scaphirhynchus albus
LC091574.1	NA;Chordata;Actinopteri;Acipenseriformes;Acipenseridae;Scaphirhynchus;Scaphirhynchus platorynchus
MG660046.1	NA;Chordata;Lepidosauria;Squamata;Iguanidae;Liolaemus;Liolaemus umbrifer
MG660047.1	NA;Chordata;Lepidosauria;Squamata;Iguanidae;Liolaemus;Liolaemus umbrifer
MG660051.1	NA;Chordata;Lepidosauria;Squamata;Iguanidae;Liolaemus;Liolaemus capillitas
DQ237508.1	NA;Chordata;Lepidosauria;Squamata;Iguanidae;Liolaemus;Liolaemus canqueli
DQ237524.1	NA;Chordata;Lepidosauria;Squamata;Iguanidae;Liolaemus;Liolaemus canqueli
DQ237531.1	NA;Chordata;Lepidosauria;Squamata;Iguanidae;Liolaemus;Liolaemus melanops
KX371106.1	NA;Chordata;Aves;Charadriiformes;Scolopacidae;Limosa;Limosa lapponica
MN356415.1	NA;Chordata;Aves;Charadriiformes;Scolopacidae;Limosa;Limosa lapponica
FJ603663.1	NA;Chordata;Aves;Charadriiformes;Scolopacidae;Gallinago;Gallinago delicata
FJ603664.1	NA;Chordata;Aves;Charadriiformes;Scolopacidae;Gallinago;Gallinago gallinago
