"qseqid.x","gi","accession","mismatch_forward","forward_start","forward_stop","staxids","distinct_entries.x","qseqid.y","mismatch_reverse","reverse_start","reverse_stop","distinct_entries.y","product_length"
"forward_row_1","41529255","AB126387.1","0",1141,1124,"201708",2,"reverse_row_1","0",953,970,2,188
"forward_row_1","41529257","AB126388.1","0",1141,1124,"214490",2,"reverse_row_1","1",953,970,2,188
"forward_row_1","41529259","AB126389.1","1",1141,1124,"173978",2,"reverse_row_1","0",953,970,2,188
"forward_row_1","41529261","AB126390.1","0",1141,1124,"201704",2,"reverse_row_1","0",953,970,2,188
"forward_row_1","256252177","AB454088.1","0",1141,1124,"290526",2,"reverse_row_1","0",953,970,2,188
"forward_row_1","256252179","AB454089.1","0",1141,1124,"290524",2,"reverse_row_1","1",955,970,2,186
"forward_row_1","256252181","AB454090.1","0",1141,1124,"290523",2,"reverse_row_1","0",953,970,2,188
"forward_row_1","306922078","AB490928.1","0",662,645,"214486",2,"reverse_row_1","0",474,491,2,188
"forward_row_1","325974401","AB612337.1","1",552,537,"8039",2,"reverse_row_1","2",366,383,2,186
"forward_row_1","325974403","AB612338.1","1",552,537,"8039",2,"reverse_row_1","2",366,383,2,186
"forward_row_1","325974405","AB612339.1","1",552,537,"8039",2,"reverse_row_1","2",366,383,2,186
"forward_row_1","399152426","AB677376.1","2",574,557,"332172",2,"reverse_row_1","1",388,402,2,186
"forward_row_1","399152428","AB677377.1","2",574,557,"332172",2,"reverse_row_1","1",388,402,2,186
"forward_row_1","399152526","AB677426.1","2",574,557,"332172",2,"reverse_row_1","1",388,403,2,186
"forward_row_1","399152528","AB677427.1","2",574,557,"332172",2,"reverse_row_1","1",388,403,2,186
"forward_row_1","399152534","AB677430.1","2",574,557,"332172",2,"reverse_row_1","1",388,403,2,186
"forward_row_1","399152536","AB677431.1","2",574,557,"332172",2,"reverse_row_1","1",388,403,2,186
"forward_row_1","399152538","AB677432.1","2",574,557,"332172",2,"reverse_row_1","1",388,403,2,186
"forward_row_1","14595760","AC092395.1","1",72719,72704,"7227",2,"reverse_row_1","1",72603,72618,2,116
"forward_row_1","1870286305","AC279734.1","0",1283,1295,"3225",2,"reverse_row_1","1",1410,1396,2,127
"forward_row_1","4886712","AF031498.1","0",1141,1124,"72102",2,"reverse_row_1","0",955,970,2,186
"forward_row_1","4886713","AF031499.1","0",1141,1124,"72093",2,"reverse_row_1","2",953,969,2,188
"forward_row_1","4886714","AF031500.1","0",1141,1124,"72084",2,"reverse_row_1","1",953,970,2,188
"forward_row_1","4886715","AF031501.1","0",1141,1124,"72098",2,"reverse_row_1","0",953,970,2,188
"forward_row_1","4886716","AF031502.1","0",1141,1124,"72091",2,"reverse_row_1","1",953,970,2,188
"forward_row_1","4886717","AF031503.1","0",1141,1124,"72061",2,"reverse_row_1","1",953,970,2,188
"forward_row_1","4886718","AF031504.1","0",1141,1124,"72064",2,"reverse_row_1","1",953,970,2,188
"forward_row_1","4886719","AF031505.1","0",1141,1124,"72066",2,"reverse_row_1","1",953,970,2,188
"forward_row_1","4886720","AF031506.1","0",1141,1124,"72074",2,"reverse_row_1","1",953,970,2,188
"forward_row_1","4886721","AF031507.1","0",1141,1124,"72072",2,"reverse_row_1","1",953,970,2,188
"forward_row_1","4886722","AF031508.1","0",1141,1124,"72079",2,"reverse_row_1","1",953,970,2,188
"forward_row_1","4886723","AF031509.1","0",1141,1124,"72082",2,"reverse_row_1","0",953,970,2,188
"forward_row_1","4886724","AF031510.1","0",1141,1124,"72090",2,"reverse_row_1","1",953,970,2,188
"forward_row_1","4886725","AF031511.1","0",1141,1124,"72097",2,"reverse_row_1","0",953,970,2,188
"forward_row_1","4886726","AF031512.1","0",1141,1124,"72096",2,"reverse_row_1","1",953,970,2,188
"forward_row_1","4886727","AF031513.1","0",1141,1124,"72103",2,"reverse_row_1","1",953,970,2,188
"forward_row_1","4886728","AF031514.1","0",1141,1124,"72075",2,"reverse_row_1","1",953,970,2,188
"forward_row_1","4886729","AF031515.1","0",1141,1124,"72104",2,"reverse_row_1","1",953,970,2,188
"forward_row_1","4886730","AF031516.1","0",1141,1124,"72105",2,"reverse_row_1","1",953,970,2,188
"forward_row_1","219937698","AM265625.1","0",1140,1124,"41446",2,"reverse_row_1","0",953,969,2,187
"forward_row_1","1790166132","AP006762.1","1",15533,15516,"154816",2,"reverse_row_1","2",15345,15362,2,188
"forward_row_1","1074199782","AP011436.1","2",15524,15507,"322126",2,"reverse_row_1","2",15336,15352,2,188
