Project Request,Common Name,Scientific Name,Point of contact,Email
CalCOFI Marine Mammals,Blue whale,Balaenoptera musculus,Simone Baumann-Pickering/Michaela Alksne,"sbaumann@ucsd.edu, m1alksne@ucsd.edu"
CalCOFI Marine Mammals,Fin whale,Balaenoptera physalus,Simone Baumann-Pickering/Michaela Alksne,"sbaumann@ucsd.edu, m1alksne@ucsd.edu"
CalCOFI Marine Mammals,Humpback whale,Megaptera novaeangliae,Simone Baumann-Pickering/Michaela Alksne,"sbaumann@ucsd.edu, m1alksne@ucsd.edu"
CalCOFI Marine Mammals,Bryde's whale,Balaenoptera brydei,Simone Baumann-Pickering/Michaela Alksne,"sbaumann@ucsd.edu, m1alksne@ucsd.edu"
CalCOFI Marine Mammals,Sei whale,Balaenoptera borealis,Simone Baumann-Pickering/Michaela Alksne,"sbaumann@ucsd.edu, m1alksne@ucsd.edu"
CalCOFI Marine Mammals,Minke whale,Balaenoptera acutorostrata,Simone Baumann-Pickering/Michaela Alksne,"sbaumann@ucsd.edu, m1alksne@ucsd.edu"
CalCOFI Marine Mammals,Gray whale,Eschrichtius robustus,Simone Baumann-Pickering/Michaela Alksne,"sbaumann@ucsd.edu, m1alksne@ucsd.edu"
CalCOFI Marine Mammals,Baird's beaked whale,Berardius bairdii,Simone Baumann-Pickering/Michaela Alksne,"sbaumann@ucsd.edu, m1alksne@ucsd.edu"
CalCOFI Marine Mammals,Cuvier's beaked whale,Ziphius cavirostris,Simone Baumann-Pickering/Michaela Alksne,"sbaumann@ucsd.edu, m1alksne@ucsd.edu"
CalCOFI Marine Mammals,Killer whale,Orcinus orca,Simone Baumann-Pickering/Michaela Alksne,"sbaumann@ucsd.edu, m1alksne@ucsd.edu"
CalCOFI Marine Mammals,Long-beaked common dolphin,Delphinus bairdii,Simone Baumann-Pickering/Michaela Alksne,"sbaumann@ucsd.edu, m1alksne@ucsd.edu"
CalCOFI Marine Mammals,Short-beaked common dolphin,Delphinus delphis,Simone Baumann-Pickering/Michaela Alksne,"sbaumann@ucsd.edu, m1alksne@ucsd.edu"
CalCOFI Marine Mammals,Risso's dolphin,Grampus griseus,Simone Baumann-Pickering/Michaela Alksne,"sbaumann@ucsd.edu, m1alksne@ucsd.edu"
CalCOFI Marine Mammals,Pacific white-sided dolphin,Lagenorhynchus obliquidens,Simone Baumann-Pickering/Michaela Alksne,"sbaumann@ucsd.edu, m1alksne@ucsd.edu"
CalCOFI Marine Mammals,Bottlenose dolphin,Tursiops truncatus,Simone Baumann-Pickering/Michaela Alksne,"sbaumann@ucsd.edu, m1alksne@ucsd.edu"
CalCOFI Marine Mammals,Rough-toothed dolphin,Steno bredanensis,Simone Baumann-Pickering/Michaela Alksne,"sbaumann@ucsd.edu, m1alksne@ucsd.edu"
CalCOFI Marine Mammals,Short-finned pilot whale,Globicephala macrorhynchus,Simone Baumann-Pickering/Michaela Alksne,"sbaumann@ucsd.edu, m1alksne@ucsd.edu"
CalCOFI Marine Mammals,False killer whale,Pseudorca crassidens,Simone Baumann-Pickering/Michaela Alksne,"sbaumann@ucsd.edu, m1alksne@ucsd.edu"
CalCOFI Marine Mammals,Striped dolphin,Stenella coeruleoalba,Simone Baumann-Pickering/Michaela Alksne,"sbaumann@ucsd.edu, m1alksne@ucsd.edu"
CalCOFI Marine Mammals,Dall's porpoise,Phocoenoides dalli,Simone Baumann-Pickering/Michaela Alksne,"sbaumann@ucsd.edu, m1alksne@ucsd.edu"
CalCOFI Marine Mammals,Harbor porpoise,Phocoena phocoena,Simone Baumann-Pickering/Michaela Alksne,"sbaumann@ucsd.edu, m1alksne@ucsd.edu"
CalCOFI Marine Mammals,Sperm whale,Physeter macrocephalus,Simone Baumann-Pickering/Michaela Alksne,"sbaumann@ucsd.edu, m1alksne@ucsd.edu"
CalCOFI Marine Mammals,California sea lion,Zalophus californianus,Simone Baumann-Pickering/Michaela Alksne,"sbaumann@ucsd.edu, m1alksne@ucsd.edu"
CalCOFI Marine Mammals,Northern fur seal,Callorhinus ursinus,Simone Baumann-Pickering/Michaela Alksne,"sbaumann@ucsd.edu, m1alksne@ucsd.edu"
CalCOFI Marine Mammals,Northern elephant seal,Mirounga angustirostris,Simone Baumann-Pickering/Michaela Alksne,"sbaumann@ucsd.edu, m1alksne@ucsd.edu"
CalCOFI Marine Mammals,Harbor seal,Phoca vitulina,Simone Baumann-Pickering/Michaela Alksne,"sbaumann@ucsd.edu, m1alksne@ucsd.edu"
