Project Request,Scientific Name,Point of Contact for Submission,Email,Common Name,Survey Type
NAS Species List,Acanthurus guttatus,Ann Holmes,aholmes@ucdavis.edu ,whitespotted surgeonfish,Monitored
NAS Species List,Acanthurus monroviae,Ann Holmes,aholmes@ucdavis.edu ,doctorfish,Monitored
NAS Species List,Acanthurus pyroferus,Ann Holmes,aholmes@ucdavis.edu ,chocolate surgeonfish,Monitored
NAS Species List,Acanthurus sohal,Ann Holmes,aholmes@ucdavis.edu ,Red Sea surgeonfish,Monitored
NAS Species List,Naso lituratus,Ann Holmes,aholmes@ucdavis.edu ,orangespine unicornfish,Monitored
NAS Species List,Paracanthurus hepatus,Ann Holmes,aholmes@ucdavis.edu ,palette surgeonfish,Monitored
NAS Species List,Zebrasoma desjardinii,Ann Holmes,aholmes@ucdavis.edu ,sailfin tang,Monitored
NAS Species List,Zebrasoma flavescens,Ann Holmes,aholmes@ucdavis.edu ,yellow tang,Monitored
NAS Species List,Zebrasoma scopas,Ann Holmes,aholmes@ucdavis.edu ,Brown Tang,Monitored
NAS Species List,Zebrasoma velifer,Ann Holmes,aholmes@ucdavis.edu ,sailfin tang,Monitored
NAS Species List,Zebrasoma xanthurum,Ann Holmes,aholmes@ucdavis.edu ,yellowtail tang,Monitored
NAS Species List,Acipenser fulvescens,Ann Holmes,aholmes@ucdavis.edu ,Lake Sturgeon,Monitored
NAS Species List,Acipenser transmontanus,Ann Holmes,aholmes@ucdavis.edu ,White Sturgeon,Monitored
NAS Species List,Oryzias latipes,Ann Holmes,aholmes@ucdavis.edu ,Japanese medaka,Monitored
NAS Species List,Albula vulpes,Ann Holmes,aholmes@ucdavis.edu ,Bonefish,Monitored
NAS Species List,Phenacogrammus interruptus,Ann Holmes,aholmes@ucdavis.edu ,Congo tetra,Monitored
NAS Species List,Forbesichthys agassizii,Ann Holmes,aholmes@ucdavis.edu ,Spring Cavefish,Monitored
NAS Species List,Typhlichthys subterraneus,Ann Holmes,aholmes@ucdavis.edu ,Southern Cavefish,Monitored
NAS Species List,Amia calva,Ann Holmes,aholmes@ucdavis.edu ,Bowfin,Monitored
NAS Species List,Anabas testudineus,Ann Holmes,aholmes@ucdavis.edu ,climbing perch,Monitored
NAS Species List,Ctenopoma nigropannosum,Ann Holmes,aholmes@ucdavis.edu ,twospot climbing perch,Monitored
NAS Species List,Anguilla anguilla,Ann Holmes,aholmes@ucdavis.edu ,European eel,Monitored
NAS Species List,Anguilla marmorata,Ann Holmes,aholmes@ucdavis.edu ,marbled eel,Monitored
NAS Species List,Anguilla rostrata,Ann Holmes,aholmes@ucdavis.edu ,American Eel,Monitored
NAS Species List,Anguilla sp.,Ann Holmes,aholmes@ucdavis.edu ,unidentified eel,Monitored
NAS Species List,Anguilla australis,Ann Holmes,aholmes@ucdavis.edu ,shortfin eel,Monitored
NAS Species List,Leporinus fasciatus,Ann Holmes,aholmes@ucdavis.edu ,banded leporinus,Monitored
NAS Species List,Aphredoderus sayanus,Ann Holmes,aholmes@ucdavis.edu ,Pirate Perch,Monitored
NAS Species List,Aplocheilus lineatus,Ann Holmes,aholmes@ucdavis.edu ,striped panchax,Monitored
NAS Species List,Austrolebias bellottii,Ann Holmes,aholmes@ucdavis.edu ,Argentine pearlfish,Monitored
NAS Species List,Austrolebias nigripinnis,Ann Holmes,aholmes@ucdavis.edu ,blackfin pearlfish,Monitored
NAS Species List,Nematolebias whitei,Ann Holmes,aholmes@ucdavis.edu ,Rio pearlfish,Monitored
NAS Species List,Nothobranchius guentheri,Ann Holmes,aholmes@ucdavis.edu ,redtail notho,Monitored
NAS Species List,Rivulus hartii,Ann Holmes,aholmes@ucdavis.edu ,Hart's rivulus,Monitored
NAS Species List,Chirostoma jordani,Ann Holmes,aholmes@ucdavis.edu ,Mesa Silverside,Monitored
NAS Species List,Labidesthes sicculus,Ann Holmes,aholmes@ucdavis.edu ,Brook Silverside,Monitored
