"qseqid.x","gi","accession","mismatch_forward","forward_start","forward_stop","staxids","distinct_entries.x","qseqid.y","mismatch_reverse","reverse_start","reverse_stop","distinct_entries.y","product_length"
"forward_row_1","1979424140","3J9M_AA","0",422,439,"9606",2,"reverse_row_1","0",563,547,2,141
"forward_row_1","1048348243","3JD5_A","0",415,432,"9913",2,"reverse_row_1","0",557,540,2,142
"forward_row_1","810516680","5AJ3_A","0",421,438,"9823",2,"reverse_row_1","0",562,545,2,141
"forward_row_1","1979433971","6NU2_AA","0",405,422,"9606",2,"reverse_row_1","0",542,526,2,137
"forward_row_1","1890511482","6RW4_A","1",422,439,"9606",2,"reverse_row_1","0",563,547,2,141
"forward_row_1","1996391162","6ZM5_AA","0",421,438,"9606",2,"reverse_row_1","0",562,546,2,141
"forward_row_1","2425374353","6ZS9_AA","0",422,439,"9606",2,"reverse_row_1","0",563,547,2,141
"forward_row_1","2428734966","6ZSE_AA","0",405,422,"9606",2,"reverse_row_1","0",542,526,2,137
"forward_row_1","1979405856","7A5F_A6","0",422,439,"9606",2,"reverse_row_1","0",563,547,2,141
"forward_row_1","2060811551","7OG4_AA","0",421,438,"9606",2,"reverse_row_1","0",562,546,2,141
"forward_row_1","2254015870","7PNT_A","0",418,435,"10090",2,"reverse_row_1","0",561,544,2,143
"forward_row_1","2254015959","7PNV_A","0",418,435,"10090",2,"reverse_row_1","0",561,544,2,143
"forward_row_1","2270388255","7QI4_AA","1",421,438,"9606",2,"reverse_row_1","0",562,546,2,141
"forward_row_1","2413506283","8CSP_A","0",422,439,"9606",2,"reverse_row_1","0",563,547,2,141
"forward_row_1","2413506383","8CSS_A","0",422,439,"9606",2,"reverse_row_1","0",563,547,2,141
"forward_row_1","2519026283","8OIN_AA","1",419,436,"9823",2,"reverse_row_1","0",560,543,2,141
"forward_row_1","2509606814","8OIP_AA","1",421,438,"9823",2,"reverse_row_1","0",562,545,2,141
"forward_row_1","1816411","AB000667.1","0",2888,2905,"8255",2,"reverse_row_1","0",3029,3012,2,141
"forward_row_1","4115659","AB016669.1","0",176,193,"80779",2,"reverse_row_1","0",317,300,2,141
"forward_row_1","4115660","AB016670.1","0",176,193,"80779",2,"reverse_row_1","0",317,300,2,141
"forward_row_1","4115661","AB016671.1","0",176,193,"75334",2,"reverse_row_1","0",317,300,2,141
"forward_row_1","4115662","AB016672.1","0",176,193,"80780",2,"reverse_row_1","0",318,301,2,142
"forward_row_1","4115663","AB016673.1","0",177,194,"154350",2,"reverse_row_1","0",321,304,2,144
