Scientific.Name	row_ids	AphiaID	taxonID	scientificNameID	acceptedNameUsageID	parentNameUsageID	scientificName	acceptedNameUsage	parentNameUsage	namePublishedIn	namePublishedInYear	kingdom	phylum	class	order	family	genus	subgenus	specificEpithet	infraspecificEpithet	taxonRank	scientificNameAuthorship	taxonomicStatus	modified	bibliographicCitation	references	identifier	title	datasetID.y	Accepted_AphiaID	parent_AphiaID	speciesNOsubgenus	parent_NCBI	accepted_NCBI	subtree_identifier_taxIDs	subtree_accepted_taxIDs	linear_noClaim_verified_directHits	circular_complete_verified_directHits	linear_noClaim_unverified_directHits	linear_complete_verified_directHits	circular_noClaim_unverified_directHits	circular_noClaim_verified_directHits	circular_claimComplete_verified_directHits	linear_claimComplete_verified_directHits	circular_complete_unverified_directHits	linear_complete_unverified_directHits	linear_noClaim_verified_subTreeHits	circular_complete_verified_subTreeHits	linear_noClaim_unverified_subTreeHits	linear_complete_verified_subTreeHits	circular_noClaim_unverified_subTreeHits	circular_noClaim_verified_subTreeHits	circular_claimComplete_verified_subTreeHits	linear_claimComplete_verified_subTreeHits	circular_complete_unverified_subTreeHits	linear_complete_unverified_subTreeHits	high_potential_sra_directHits	high_potential_sra_subTreeHits	other_potential_sra_directHits	other_potential_sra_subTreeHits	NCBI_identifier_kingdom	NCBI_identifier_phylum	NCBI_identifier_class	NCBI_identifier_order	NCBI_identifier_family	NCBI_identifier_genus	NCBI_identifier_species	NCBI_accepted_kingdom	NCBI_accepted_phylum	NCBI_accepted_class	NCBI_accepted_order	NCBI_accepted_family	NCBI_accepted_genus	NCBI_accepted_species
ABARENICOLA CLAPAREDI	R03202;R16892	332877	urn:lsid:marinespecies.org:taxname:332877	urn:lsid:marinespecies.org:taxname:332877	urn:lsid:marinespecies.org:taxname:332877	urn:lsid:marinespecies.org:taxname:129205	Abarenicola claparedi	Abarenicola claparedi	Abarenicola	NA	NA	Animalia	Annelida	Polychaeta	NA	Arenicolidae	Abarenicola	NA	claparedi	NA	Species	(Levinsen, 1884)	accepted	2011-02-22	Read, G.; Fauchald, K. (Ed.) (2024). World Polychaeta Database. Abarenicola claparedi (Levinsen, 1884). Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=332877	https://www.marinespecies.org/aphia.php?p=taxdetails&id=332877	NCBI:txid273051	To GenBank (3 nucleotides; 0 proteins)	ncbi	332877	129205	Abarenicola claparedi	NCBI:txid273050	NCBI:txid273051	NCBI:txid273051;NCBI:txid2936611	NCBI:txid273051;NCBI:txid2936611	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1___15524-15524___LC707921.1___Abarenicola claparedi oceanica (NCBI:txid2936611)	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	DRR361353	Eukaryota	Annelida	Polychaeta	NA	Arenicolidae	Abarenicola	Abarenicola claparedi	Eukaryota	Annelida	Polychaeta	NA	Arenicolidae	Abarenicola	Abarenicola claparedi
ABARENICOLA PACIFICA	R10151;R16604	326192	urn:lsid:marinespecies.org:taxname:326192	urn:lsid:marinespecies.org:taxname:326192	urn:lsid:marinespecies.org:taxname:326192	urn:lsid:marinespecies.org:taxname:129205	Abarenicola pacifica	Abarenicola pacifica	Abarenicola	Healy, E. A.; Wells, G. P. (1959). Three new lugworms (Arenicolidae, Polychaeta) from the north Pacific area. <em>Proceedings of the Zoological Society of London.</em> 133(2): 315-355.	1959	Animalia	Annelida	Polychaeta	NA	Arenicolidae	Abarenicola	NA	pacifica	NA	Species	Healy & Wells, 1959	accepted	2008-03-26	Read, G.; Fauchald, K. (Ed.) (2024). World Polychaeta Database. Abarenicola pacifica Healy & Wells, 1959. Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=326192	https://www.marinespecies.org/aphia.php?p=taxdetails&id=326192	NCBI:txid273052	To GenBank (9 nucleotides; 19 proteins)	ncbi	326192	129205	Abarenicola pacifica	NCBI:txid273050	NCBI:txid273052	NCBI:txid273052	NCBI:txid273052	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Eukaryota	Annelida	Polychaeta	NA	Arenicolidae	Abarenicola	Abarenicola pacifica	Eukaryota	Annelida	Polychaeta	NA	Arenicolidae	Abarenicola	Abarenicola pacifica
ABIETINARIA ABIETINA	R17713	117870	urn:lsid:marinespecies.org:taxname:117870	urn:lsid:marinespecies.org:taxname:117870	urn:lsid:marinespecies.org:taxname:117870	urn:lsid:marinespecies.org:taxname:117225	Abietinaria abietina	Abietinaria abietina	Abietinaria	NA	NA	Animalia	Cnidaria	Hydrozoa	Leptothecata	Sertulariidae	Abietinaria	NA	abietina	NA	Species	(Linnaeus, 1758)	accepted	2004-12-21	Schuchert, P. (2024). World Hydrozoa Database. Abietinaria abietina (Linnaeus, 1758). Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=117870	https://www.marinespecies.org/aphia.php?p=taxdetails&id=117870	NCBI:txid308599	To GenBank (5 nucleotides; 1 proteins)	ncbi	117870	117225	Abietinaria abietina	NCBI:txid308598	NCBI:txid308599	NCBI:txid308599	NCBI:txid308599	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Eukaryota	Cnidaria	Hydrozoa	Leptothecata	Sertulariidae	Abietinaria	Abietinaria abietina	Eukaryota	Cnidaria	Hydrozoa	Leptothecata	Sertulariidae	Abietinaria	Abietinaria abietina
ABIETINARIA ANGUINA	R17714	285354	urn:lsid:marinespecies.org:taxname:285354	urn:lsid:marinespecies.org:taxname:285354	urn:lsid:marinespecies.org:taxname:285354	urn:lsid:marinespecies.org:taxname:117225	Abietinaria anguina	Abietinaria anguina	Abietinaria	NA	NA	Animalia	Cnidaria	Hydrozoa	Leptothecata	Sertulariidae	Abietinaria	NA	anguina	NA	Species	(Trask, 1857)	accepted	2010-06-25	Schuchert, P. (2024). World Hydrozoa Database. Abietinaria anguina (Trask, 1857). Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=285354	https://www.marinespecies.org/aphia.php?p=taxdetails&id=285354	NA	NA	NA	285354	117225	Abietinaria anguina	NCBI:txid308598	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ABIETINARIA FILLICULA	R17715	117871	urn:lsid:marinespecies.org:taxname:117871	urn:lsid:marinespecies.org:taxname:117871	urn:lsid:marinespecies.org:taxname:117871	urn:lsid:marinespecies.org:taxname:117225	Abietinaria filicula	Abietinaria filicula	Abietinaria	NA	NA	Animalia	Cnidaria	Hydrozoa	Leptothecata	Sertulariidae	Abietinaria	NA	filicula	NA	Species	(Ellis & Solander, 1786)	accepted	2004-12-21	Schuchert, P. (2024). World Hydrozoa Database. Abietinaria filicula (Ellis & Solander, 1786). Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=117871	https://www.marinespecies.org/aphia.php?p=taxdetails&id=117871	NCBI:txid308600	To GenBank (6 nucleotides; 0 proteins)	ncbi	117871	117225	Abietinaria filicula	NCBI:txid308598	NCBI:txid308600	NCBI:txid308600	NCBI:txid308600	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Eukaryota	Cnidaria	Hydrozoa	Leptothecata	Sertulariidae	Abietinaria	Abietinaria filicula	Eukaryota	Cnidaria	Hydrozoa	Leptothecata	Sertulariidae	Abietinaria	Abietinaria filicula
ABIETINARIA GREENEI	R17716	285366	urn:lsid:marinespecies.org:taxname:285366	urn:lsid:marinespecies.org:taxname:285366	urn:lsid:marinespecies.org:taxname:1358362	urn:lsid:marinespecies.org:taxname:117225	Abietinaria greenei	Amphisbetia greenei	Abietinaria	NA	NA	Animalia	Cnidaria	Hydrozoa	Leptothecata	Sertulariidae	Abietinaria	NA	greenei	NA	Species	(Murray, 1860)	unaccepted	2019-07-12	Schuchert, P. (2024). World Hydrozoa Database. Abietinaria greenei (Murray, 1860). Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=285366	https://www.marinespecies.org/aphia.php?p=taxdetails&id=285366	NA	NA	NA	1358362	117225	Abietinaria greenei	NCBI:txid308598	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ABIETINARIA INCONSTANS	R17717	285368	urn:lsid:marinespecies.org:taxname:285368	urn:lsid:marinespecies.org:taxname:285368	urn:lsid:marinespecies.org:taxname:285368	urn:lsid:marinespecies.org:taxname:117225	Abietinaria inconstans	Abietinaria inconstans	Abietinaria	NA	NA	Animalia	Cnidaria	Hydrozoa	Leptothecata	Sertulariidae	Abietinaria	NA	inconstans	NA	Species	(Clark, 1877)	accepted	2019-07-12	Schuchert, P. (2024). World Hydrozoa Database. Abietinaria inconstans (Clark, 1877). Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=285368	https://www.marinespecies.org/aphia.php?p=taxdetails&id=285368	NA	NA	NA	285368	117225	Abietinaria inconstans	NCBI:txid308598	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ABLENNES HIANS	R07504	159246	urn:lsid:marinespecies.org:taxname:159246	urn:lsid:marinespecies.org:taxname:159246	urn:lsid:marinespecies.org:taxname:159246	urn:lsid:marinespecies.org:taxname:159244	Ablennes hians	Ablennes hians	Ablennes	NA	NA	Animalia	Chordata	Teleostei	Beloniformes	Belonidae	Ablennes	NA	hians	NA	Species	(Valenciennes, 1846)	accepted	2008-01-15	Froese, R. and D. Pauly. Editors. (2024). FishBase. Ablennes hians (Valenciennes, 1846). Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=159246	https://www.marinespecies.org/aphia.php?p=taxdetails&id=159246	NCBI:txid129035	To GenBank (72 nucleotides; 110 proteins)	ncbi	159246	159244	Ablennes hians	NCBI:txid129034	NCBI:txid129035	NCBI:txid129035	NCBI:txid129035	NA	2___16534-16825___PP032948.1;NC_011180.1___Ablennes hians (NCBI:txid129035)	NA	NA	NA	NA	1___16825-16825___AB373007.1___Ablennes hians (NCBI:txid129035)	1___16825-16825___AP006774.1___Ablennes hians (NCBI:txid129035)	NA	NA	NA	2___16534-16825___PP032948.1;NC_011180.1___Ablennes hians (NCBI:txid129035)	NA	NA	NA	NA	1___16825-16825___AB373007.1___Ablennes hians (NCBI:txid129035)	1___16825-16825___AP006774.1___Ablennes hians (NCBI:txid129035)	NA	NA	NA	NA	NA	NA	Eukaryota	Chordata	Actinopteri	Beloniformes	Belonidae	Ablennes	Ablennes hians	Eukaryota	Chordata	Actinopteri	Beloniformes	Belonidae	Ablennes	Ablennes hians
ABLUDOMELITA ACULEATA	R03208	102786	urn:lsid:marinespecies.org:taxname:102786	urn:lsid:marinespecies.org:taxname:102786	urn:lsid:marinespecies.org:taxname:102786	urn:lsid:marinespecies.org:taxname:101665	Abludomelita aculeata	Abludomelita aculeata	Abludomelita	NA	NA	Animalia	Arthropoda	Malacostraca	Amphipoda	Melitidae	Abludomelita	NA	aculeata	NA	Species	(Chevreux, 1911)	accepted	2020-10-08	Horton, T.; Lowry, J.; De Broyer, C.; Bellan-Santini, D.; Copilas-Ciocianu, D.; Corbari, L.; Costello, M.J.; Daneliya, M.; Dauvin, J.-C.; Fišer, C.; Gasca, R.; Grabowski, M.; Guerra-García, J.M.; Hendrycks, E.; Hughes, L.; Jaume, D.; Jazdzewski, K.; Kim, Y.-H.; King, R.; Krapp-Schickel, T.; LeCroy, S.; Lörz, A.-N.; Mamos, T.; Senna, A.R.; Serejo, C.; Souza-Filho, J.F.; Tandberg, A.H.; Thomas, J.D.; Thurston, M.; Vader, W.; Väinölä, R.; Valls Domedel, G.; Vonk, R.; White, K.; Zeidler, W. (2024). World Amphipoda Database. Abludomelita aculeata (Chevreux, 1911). Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=102786	https://www.marinespecies.org/aphia.php?p=taxdetails&id=102786	NA	NA	NA	102786	101665	Abludomelita aculeata	NCBI:txid1920390	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ABLUDOMELITA GLADIOSA	R03209	102787	urn:lsid:marinespecies.org:taxname:102787	urn:lsid:marinespecies.org:taxname:102787	urn:lsid:marinespecies.org:taxname:102787	urn:lsid:marinespecies.org:taxname:101665	Abludomelita gladiosa	Abludomelita gladiosa	Abludomelita	NA	NA	Animalia	Arthropoda	Malacostraca	Amphipoda	Melitidae	Abludomelita	NA	gladiosa	NA	Species	(Spence Bate & Westwood, 1862)	accepted	2023-11-12	Horton, T.; Lowry, J.; De Broyer, C.; Bellan-Santini, D.; Copilas-Ciocianu, D.; Corbari, L.; Costello, M.J.; Daneliya, M.; Dauvin, J.-C.; Fišer, C.; Gasca, R.; Grabowski, M.; Guerra-García, J.M.; Hendrycks, E.; Hughes, L.; Jaume, D.; Jazdzewski, K.; Kim, Y.-H.; King, R.; Krapp-Schickel, T.; LeCroy, S.; Lörz, A.-N.; Mamos, T.; Senna, A.R.; Serejo, C.; Souza-Filho, J.F.; Tandberg, A.H.; Thomas, J.D.; Thurston, M.; Vader, W.; Väinölä, R.; Valls Domedel, G.; Vonk, R.; White, K.; Zeidler, W. (2024). World Amphipoda Database. Abludomelita gladiosa (Spence Bate & Westwood, 1862). Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=102787	https://www.marinespecies.org/aphia.php?p=taxdetails&id=102787	NA	NA	NA	102787	101665	Abludomelita gladiosa	NCBI:txid1920390	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
