Project Request,Scientific Name,Point of contact,Email,Common Name,Survey Type
CalCOFI Marine Mammals,Balaenoptera musculus,Simone Baumann-Pickering/Michaela Alksne,"sbaumann@ucsd.edu, m1alksne@ucsd.edu",Blue whale,Encountered
CalCOFI Marine Mammals,Balaenoptera physalus,Simone Baumann-Pickering/Michaela Alksne,"sbaumann@ucsd.edu, m1alksne@ucsd.edu",Fin whale,Encountered
CalCOFI Marine Mammals,Megaptera novaeangliae,Simone Baumann-Pickering/Michaela Alksne,"sbaumann@ucsd.edu, m1alksne@ucsd.edu",Humpback whale,Encountered
CalCOFI Marine Mammals,Balaenoptera brydei,Simone Baumann-Pickering/Michaela Alksne,"sbaumann@ucsd.edu, m1alksne@ucsd.edu",Bryde's whale,Encountered
CalCOFI Marine Mammals,Balaenoptera borealis,Simone Baumann-Pickering/Michaela Alksne,"sbaumann@ucsd.edu, m1alksne@ucsd.edu",Sei whale,Encountered
CalCOFI Marine Mammals,Balaenoptera acutorostrata,Simone Baumann-Pickering/Michaela Alksne,"sbaumann@ucsd.edu, m1alksne@ucsd.edu",Minke whale,Encountered
CalCOFI Marine Mammals,Eschrichtius robustus,Simone Baumann-Pickering/Michaela Alksne,"sbaumann@ucsd.edu, m1alksne@ucsd.edu",Gray whale,Encountered
CalCOFI Marine Mammals,Berardius bairdii,Simone Baumann-Pickering/Michaela Alksne,"sbaumann@ucsd.edu, m1alksne@ucsd.edu",Baird's beaked whale,Encountered
CalCOFI Marine Mammals,Ziphius cavirostris,Simone Baumann-Pickering/Michaela Alksne,"sbaumann@ucsd.edu, m1alksne@ucsd.edu",Cuvier's beaked whale,Encountered
CalCOFI Marine Mammals,Orcinus orca,Simone Baumann-Pickering/Michaela Alksne,"sbaumann@ucsd.edu, m1alksne@ucsd.edu",Killer whale,Encountered
CalCOFI Marine Mammals,Delphinus bairdii,Simone Baumann-Pickering/Michaela Alksne,"sbaumann@ucsd.edu, m1alksne@ucsd.edu",Long-beaked common dolphin,Encountered
CalCOFI Marine Mammals,Delphinus delphis,Simone Baumann-Pickering/Michaela Alksne,"sbaumann@ucsd.edu, m1alksne@ucsd.edu",Short-beaked common dolphin,Encountered
CalCOFI Marine Mammals,Grampus griseus,Simone Baumann-Pickering/Michaela Alksne,"sbaumann@ucsd.edu, m1alksne@ucsd.edu",Risso's dolphin,Encountered
CalCOFI Marine Mammals,Lagenorhynchus obliquidens,Simone Baumann-Pickering/Michaela Alksne,"sbaumann@ucsd.edu, m1alksne@ucsd.edu",Pacific white-sided dolphin,Encountered
CalCOFI Marine Mammals,Tursiops truncatus,Simone Baumann-Pickering/Michaela Alksne,"sbaumann@ucsd.edu, m1alksne@ucsd.edu",Bottlenose dolphin,Encountered
CalCOFI Marine Mammals,Steno bredanensis,Simone Baumann-Pickering/Michaela Alksne,"sbaumann@ucsd.edu, m1alksne@ucsd.edu",Rough-toothed dolphin,Encountered
CalCOFI Marine Mammals,Globicephala macrorhynchus,Simone Baumann-Pickering/Michaela Alksne,"sbaumann@ucsd.edu, m1alksne@ucsd.edu",Short-finned pilot whale,Encountered
CalCOFI Marine Mammals,Pseudorca crassidens,Simone Baumann-Pickering/Michaela Alksne,"sbaumann@ucsd.edu, m1alksne@ucsd.edu",False killer whale,Encountered
CalCOFI Marine Mammals,Stenella coeruleoalba,Simone Baumann-Pickering/Michaela Alksne,"sbaumann@ucsd.edu, m1alksne@ucsd.edu",Striped dolphin,Encountered
CalCOFI Marine Mammals,Phocoenoides dalli,Simone Baumann-Pickering/Michaela Alksne,"sbaumann@ucsd.edu, m1alksne@ucsd.edu",Dall's porpoise,Encountered
CalCOFI Marine Mammals,Phocoena phocoena,Simone Baumann-Pickering/Michaela Alksne,"sbaumann@ucsd.edu, m1alksne@ucsd.edu",Harbor porpoise,Encountered
CalCOFI Marine Mammals,Physeter macrocephalus,Simone Baumann-Pickering/Michaela Alksne,"sbaumann@ucsd.edu, m1alksne@ucsd.edu",Sperm whale,Encountered
CalCOFI Marine Mammals,Zalophus californianus,Simone Baumann-Pickering/Michaela Alksne,"sbaumann@ucsd.edu, m1alksne@ucsd.edu",California sea lion,Encountered
CalCOFI Marine Mammals,Callorhinus ursinus,Simone Baumann-Pickering/Michaela Alksne,"sbaumann@ucsd.edu, m1alksne@ucsd.edu",Northern fur seal,Encountered
CalCOFI Marine Mammals,Mirounga angustirostris,Simone Baumann-Pickering/Michaela Alksne,"sbaumann@ucsd.edu, m1alksne@ucsd.edu",Northern elephant seal,Encountered
CalCOFI Marine Mammals,Phoca vitulina,Simone Baumann-Pickering/Michaela Alksne,"sbaumann@ucsd.edu, m1alksne@ucsd.edu",Harbor seal,Encountered
CalCOFI Marine Mammals,Mesoplodon carlshubbi,Simone Baumann-Pickering/Michaela Alksne,"sbaumann@ucsd.edu, m1alksne@ucsd.edu",Hubb’s beaked whale,Encountered
CalCOFI Marine Mammals,Mesoplodon stejnegeri,Simone Baumann-Pickering/Michaela Alksne,"sbaumann@ucsd.edu, m1alksne@ucsd.edu",Stejneger's beaked whale,Encountered
CalCOFI Marine Mammals,Mesoplodon densirostris,Simone Baumann-Pickering/Michaela Alksne,"sbaumann@ucsd.edu, m1alksne@ucsd.edu",Blainville’s beaked whale,Encountered
